Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Approach","2","T4","11:44:10:594","11:45:54:014","00:01:43.4199722"
Approach","2","T4","11:45:55:514","11:46:44:101","00:00:48.5863760"
Approach","2","T4","11:46:45:563","11:47:16:836","00:00:31.2728768"
Approach","2","T4","11:47:18:280","11:47:40:650","00:00:22.3697593"
Approach","2","T4","11:47:42:231","11:48:12:560","00:00:30.3291826"
Approach","2","T4","11:48:14:129","11:48:38:566","00:00:24.4360908"
Approach","2","T4","11:48:39:971","11:49:13:421","00:00:33.4501824"
Approach","2","T4","11:49:14:381","11:49:57:276","00:00:42.8946860"
Approach","2","T4","11:49:58:683","11:50:42:120","00:00:43.4369398"
Approach","2","T4","11:50:43:438","11:51:18:308","00:00:34.8707128"
Approach","2","T4","11:51:34:561","11:52:25:103","00:00:50.5418211"
Approach","2","T4","11:52:26:588","11:53:22:156","00:00:55.5680848"
Approach","2","T4","11:53:23:735","11:53:58:487","00:00:34.7517508"
Approach","2","T4","11:54:00:525","11:54:54:524","00:00:53.9988157"
Approach","2","T4","11:54:56:336","11:55:41:116","00:00:44.7805743"
