01:50:44#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
01:50:44#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
01:50:45#1,035577:0,5167479:-1,078153/0,03413023:-0,9601054:-0,02780617:-0,2761517#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#-0,5461081:-0,249703:-1,126039/0,3492636:-0,6212178:0,6148446:0,3377419#0,9577025:-0,2513235:-0,1827338/0,6251312:0,3513052:-0,3306233:0,6135829
01:50:45#1,035577:0,5167516:-1,07815/0,03411378:-0,9601108:-0,02777449:-0,2761376#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,9245197:0,4154891:-0,6317714/0,7756391:-0,0413424:-0,6174315:0,1243128#0,9089:0,4268559:-0,6360956/0,9774812:0,1139717:0,1586094:0,07990051
01:50:45#1,035578:0,5167525:-1,078149/0,03412321:-0,9601122:-0,0277672:-0,2761324#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,686251:0,2629459:-0,5353309/0,7756441:-0,04134342:-0,6174251:0,1243125#0,7845175:0,2324599:-0,5966243/0,9774798:0,1139711:0,1586175:0,0799015
01:50:45#1,035578:0,5167539:-1,078148/0,03411679:-0,9601138:-0,02775535:-0,2761289#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862524:0,2629472:-0,535326/0,7756456:-0,04134381:-0,6174233:0,1243124#0,7845199:0,2324606:-0,596624/0,9774796:0,1139709:0,1586199:0,07990164
01:50:45#1,035576:0,516757:-1,078147/0,03413142:-0,9601094:-0,02772856:-0,276145#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862304:0,2629502:-0,535334/0,7756579:-0,04134636:-0,6174079:0,1243116#0,7845024:0,2324631:-0,5966308/0,9774764:0,1139694:0,1586392:0,07990398
01:50:45#1,035576:0,5167561:-1,078147/0,03412085:-0,9601097:-0,02773616:-0,2761447#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862449:0,2629555:-0,5353208/0,7756476:-0,04134409:-0,6174208:0,1243123#0,7845079:0,2324694:-0,5966119/0,977479:0,1139706:0,1586231:0,07990216
01:50:45#1,035574:0,5167558:-1,078148/0,03412274:-0,9601063:-0,02773866:-0,2761561#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862314:0,2629533:-0,5353317/0,7756549:-0,04134554:-0,6174115:0,1243118#0,7844951:0,2324668:-0,5966219/0,9774772:0,1139697:0,1586347:0,07990348
01:50:45#1,035576:0,5167561:-1,078147/0,03413314:-0,9601088:-0,02773604:-0,2761461#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,686252:0,262952:-0,535323/0,7756412:-0,04134283:-0,6174291:0,1243128#0,7845078:0,2324668:-0,5966101/0,9774807:0,1139716:0,1586126:0,07990097
01:50:45#1,035574:0,5167559:-1,078148/0,03412611:-0,9601058:-0,02773703:-0,2761573#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,686237:0,2629532:-0,5353304/0,775655:-0,04134567:-0,6174114:0,1243117#0,7844995:0,2324673:-0,5966192/0,977477:0,1139697:0,1586347:0,07990345
01:50:45#1,035573:0,5167561:-1,078148/0,03413054:-0,9601027:-0,02773561:-0,2761676#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862325:0,2629523:-0,5353366/0,7756543:-0,04134546:-0,6174124:0,1243119#0,7844912:0,2324669:-0,5966191/0,9774774:0,1139698:0,1586335:0,07990341
01:50:45#1,035571:0,5167556:-1,078149/0,03411692:-0,9601003:-0,02773818:-0,2761776#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862338:0,2629521:-0,5353402/0,7756544:-0,04134549:-0,6174122:0,1243118#0,7844872:0,2324678:-0,596616/0,9774773:0,1139698:0,1586338:0,07990335
01:50:45#1,035572:0,5167549:-1,078149/0,03413578:-0,9600967:-0,02774517:-0,2761873#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,68623:0,262951:-0,535346/0,7756534:-0,04134531:-0,6174133:0,1243119#0,7844787:0,2324677:-0,5966158/0,9774775:0,1139699:0,1586322:0,07990323
01:50:45#1,03557:0,5167543:-1,07815/0,03413303:-0,9600937:-0,02774937:-0,2761975#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862362:0,2629485:-0,5353512/0,7756544:-0,0413455:-0,6174123:0,1243118#0,7844798:0,2324661:-0,5966147/0,9774772:0,1139698:0,1586336:0,07990342
01:50:45#1,035569:0,5167577:-1,078148/0,03413253:-0,9600922:-0,02772081:-0,2762057#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862351:0,2629471:-0,5353569/0,775653:-0,04134525:-0,6174139:0,1243118#0,7844751:0,2324654:-0,5966142/0,9774776:0,1139699:0,1586315:0,07990317
01:50:45#1,035569:0,5167577:-1,078148/0,03413253:-0,9600922:-0,02772081:-0,2762057#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862397:0,2629542:-0,5353458/0,7756475:-0,04134422:-0,6174206:0,1243123#0,7844747:0,2324734:-0,5965992/0,977479:0,1139706:0,158623:0,07990218
01:50:45#1,035567:0,5167603:-1,078147/0,03413894:-0,960088:-0,02769785:-0,2762216#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862255:0,2629533:-0,5353557/0,775658:-0,04134617:-0,6174079:0,1243116#0,784461:0,2324724:-0,5966076/0,9774764:0,1139693:0,1586393:0,07990411
01:50:45#1,03557:0,5167575:-1,078148/0,03414903:-0,960092:-0,02772234:-0,2762042#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862546:0,2629583:-0,5353327/0,775636:-0,04134195:-0,6174351:0,124313#0,7844791:0,2324784:-0,5965818/0,977482:0,1139721:0,1586048:0,07990008
01:50:45#1,035572:0,5167555:-1,078149/0,03416866:-0,9600901:-0,02774052:-0,2762064#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862448:0,2629522:-0,5353439/0,7756485:-0,04134436:-0,6174193:0,1243121#0,7844785:0,232471:-0,5966011/0,9774786:0,1139705:0,1586246:0,07990227
01:50:45#1,035572:0,5167543:-1,078149/0,03416852:-0,9600902:-0,02775045:-0,2762049#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862536:0,2629477:-0,5353479/0,7756467:-0,04134402:-0,6174219:0,1243123#0,7844884:0,2324663:-0,5966039/0,9774792:0,1139708:0,1586218:0,07990198
