00:31:29#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
00:31:29#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
00:31:29#0,2056995:0,8245867:0,3972528/0,02963446:0,3548253:-0,03692077:-0,9337332#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,8994974:-0,249703:-0,1053997/-0,6421742:-0,2840063:0,2960257:-0,6475505#-0,4238627:-0,2513235:-1,288611/0,2765824:-0,6410897:0,6508479:0,2981667
00:31:29#0,2057011:0,8245892:0,3972518/0,02961535:0,3548273:-0,0369351:-0,9337325#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,9446101:0,5731351:0,9527397/-0,6421745:-0,2840056:0,296025:-0,6475508#-0,3787475:0,5715147:-0,2304743/0,2765817:-0,64109:0,6508482:0,298166
00:31:29#0,2057011:0,8245904:0,397251/0,0296042:0,3548284:-0,03693015:-0,9337326#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,9446164:0,5731413:0,9527361/-0,6421747:-0,2840052:0,2960246:-0,6475509#-0,3787398:0,5715209:-0,2304794/0,2765813:-0,6410902:0,6508483:0,2981656
00:31:29#0,2057016:0,8245925:0,3972497/0,02958485:0,3548335:-0,03692346:-0,9337316#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633044:0,7124355:0,432327/0,7756504:-0,04134474:-0,6174174:0,1243121#-0,1983916:0,5879723:0,1439167/0,9774784:0,1139703:0,1586273:0,07990259
00:31:29#0,2056963:0,8245887:0,3972496/0,02961546:0,3547999:-0,03691002:-0,9337438#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633094:0,7124373:0,4323172/0,7756265:-0,04134002:-0,6174473:0,1243137#-0,1984085:0,5879755:0,1439478/0,9774846:0,1139733:0,1585897:0,07989823
00:31:29#0,2056962:0,8245895:0,3972489/0,02960928:0,354789:-0,0369245:-0,9337476#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3632908:0,7124237:0,4323302/0,7756404:-0,04134266:-0,6174299:0,1243128#-0,1984238:0,5879666:0,1439347/0,977481:0,1139716:0,1586115:0,07990091
00:31:29#0,2056991:0,8245889:0,3972509/0,02961621:0,3548133:-0,03692874:-0,933738#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633049:0,7124358:0,432333/0,7756638:-0,04134751:-0,6174001:0,1243112#-0,198402:0,5879767:0,1438953/0,9774747:0,1139686:0,158649:0,07990509
00:31:29#0,2057007:0,8245888:0,3972518/0,02961858:0,3548234:-0,03693615:-0,9337338#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633099:0,712432:0,4323393/0,7756544:-0,0413456:-0,6174121:0,1243118#-0,1983974:0,5879728:0,1439163/0,9774773:0,1139698:0,1586339:0,07990341
00:31:29#0,2056977:0,8245832:0,3972543/0,02966481:0,3548148:-0,03692245:-0,9337361#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633099:0,7124333:0,4323323/0,7756436:-0,04134336:-0,6174258:0,1243127#-0,1983983:0,5879712:0,1439325/0,9774801:0,1139712:0,1586167:0,07990137
00:31:29#0,2056984:0,8245818:0,3972558/0,02967642:0,3548259:-0,03691743:-0,9337317#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3632922:0,7124202:0,4323445/0,7756553:-0,04134581:-0,6174109:0,1243117#-0,1984026:0,5879576:0,1439259/0,9774769:0,1139697:0,1586355:0,07990353
00:31:29#0,2056982:0,8245804:0,3972566/0,0296883:0,3548291:-0,03691248:-0,9337304#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,363304:0,7124299:0,432336/0,77565:-0,04134472:-0,6174176:0,1243121#-0,1983983:0,5879607:0,1439315/0,9774786:0,1139703:0,158627:0,0799026
