21:40:21#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
21:40:21#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
21:40:21#1,505891:0,5504736:-0,7618369/-0,0417564:0,5889146:-0,006966121:0,8070858#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#0,4654459:-0,249703:-1,530438/-0,1013175:-0,6977898:0,699824:-0,1143264#-0,07640249:-0,2513235:0,160027/0,6965139:-0,09893113:0,1223488:0,70008
21:40:21#1,505889:0,5504767:-0,7618353/-0,04172584:0,5889367:-0,006974793:0,8070712#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,680131:0,2965007:-1,596688/-0,1012998:-0,6977927:0,6998266:-0,1143088#1,138368:0,2948803:0,09380412/0,6965169:-0,09891349:0,1223313:0,7000824
21:40:21#1,505889:0,5504767:-0,7618353/-0,04172584:0,5889367:-0,006974793:0,8070712#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054211:0,2633841:-0,5859766/0,9840996:-0,1106632:0,1224542:0,06562658#1,124637:0,5180886:-0,3732919/-0,2039763:0,1107448:-0,424934:0,8749632
21:40:21#1,505891:0,550474:-0,7618338/-0,04174261:0,5889441:-0,006958046:0,807065#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054215:0,2633829:-0,5859671/0,9841009:-0,1106624:0,1224442:0,06562781#1,124646:0,5180873:-0,373284/-0,2039807:0,1107539:-0,4249319:0,8749621
21:40:21#1,50589:0,5504761:-0,7618315/-0,04172538:0,5889652:-0,006966393:0,8070506#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054224:0,2633771:-0,5859516/0,9841026:-0,1106616:0,1224299:0,06562935#1,124667:0,5180809:-0,3732695/-0,2039868:0,1107666:-0,4249289:0,8749604
21:40:21#1,505889:0,5504769:-0,7618324/-0,04171573:0,588963:-0,006968523:0,8070526#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054199:0,2633835:-0,5859704/0,9840991:-0,1106634:0,1224578:0,06562627#1,124644:0,518087:-0,3732821/-0,2039748:0,1107418:-0,4249345:0,8749635
21:40:21#1,505888:0,5504796:-0,7618287/-0,04170716:0,5889857:-0,006988826:0,8070362#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054208:0,2633849:-0,5859494/0,984103:-0,1106614:0,122427:0,06562971#1,124664:0,5180886:-0,3732657/-0,203988:0,1107692:-0,4249283:0,8749601
21:40:22#1,505887:0,550481:-0,7618296/-0,04169562:0,588983:-0,006994982:0,8070388#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054181:0,2633907:-0,585963/0,9840989:-0,1106635:0,1224585:0,0656262#1,12464:0,5180933:-0,3732721/-0,2039745:0,1107412:-0,424935:0,8749636
21:40:22#1,505885:0,5504838:-0,7618283/-0,04168529:0,5889905:-0,00701679:0,8070337#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054183:0,2633936:-0,5859561/0,9841007:-0,1106627:0,1224456:0,06562772#1,124644:0,518096:-0,3732675/-0,2039799:0,1107525:-0,4249321:0,8749623
21:40:22#1,505883:0,550486:-0,7618309/-0,04166256:0,5889813:-0,007024276:0,8070415#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054165:0,2633994:-0,5859678/0,984098:-0,1106642:0,1224672:0,06562527#1,124622:0,5181012:-0,3732751/-0,2039705:0,1107334:-0,4249365:0,8749646
21:40:22#1,505883:0,550486:-0,7618309/-0,04166256:0,5889813:-0,007024276:0,8070415#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054168:0,2634037:-0,5859655/0,9840996:-0,1106633:0,1224544:0,06562673#1,124623:0,5181054:-0,373276/-0,2039762:0,1107448:-0,424934:0,8749632
