15:59:35#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
15:59:35#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
15:59:36#0,05486806:0,8444455:-0,1568529/0,02998686:0,5597889:0,03044522:-0,8275326#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,5741286:-0,249703:0,1372548/-0,6928334:-0,1284941:0,1414241:-0,6953204#-0,08446068:-0,2513235:-1,511239/0,1205131:-0,6922669:0,6968338:0,1437563
15:59:36#0,05486812:0,8444471:-0,1568546/0,02997255:0,5597814:0,03044381:-0,8275383#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4720703:0,5885201:0,6626979/-0,6928321:-0,1285008:0,1414308:-0,6953192#-0,1865508:0,5868996:-0,985783/0,1205198:-0,6922655:0,6968327:0,143763
15:59:36#0,0548687:0,8444464:-0,1568531/0,02998004:0,5597886:0,03043932:-0,8275333#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4720574:0,5885234:0,6626983/-0,6928333:-0,1284944:0,1414244:-0,6953204#-0,1865334:0,586903:-0,9857946/0,1205134:-0,6922668:0,6968337:0,1437566
15:59:36#0,0548678:0,8444453:-0,156853/0,02999044:0,5597825:0,0304375:-0,8275372#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862913:1,023263:-0,01472166/-0,5296642:0,5708384:0,4274768:-0,4591985#0,2841579:1,060976:-0,1723263/-0,4140983:-0,4482707:-0,538511:-0,5810181
15:59:36#0,0548678:0,8444453:-0,156853/0,02999044:0,5597825:0,0304375:-0,8275372#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,386287:1,023261:-0,01471961/-0,529667:0,5708417:0,4274728:-0,4591944#0,2841536:1,060974:-0,1723255/-0,4140946:-0,4482667:-0,5385139:-0,5810213
15:59:36#0,05486898:0,8444466:-0,1568529/0,02998049:0,5597882:0,03043354:-0,8275338#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862858:1,023261:-0,01471601/-0,52967:0,5708447:0,4274694:-0,4591906#0,2841545:1,060973:-0,1723244/-0,4140911:-0,4482629:-0,5385165:-0,5810242
15:59:36#0,05487154:0,8444474:-0,1568506/0,02997606:0,5598074:0,03042275:-0,8275213#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862839:1,023263:-0,01470673/-0,529677:0,5708523:0,4274606:-0,4591812#0,2841602:1,060976:-0,1723196/-0,414082:-0,4482532:-0,5385234:-0,5810317
15:59:36#0,0548704:0,8444459:-0,1568505/0,02998129:0,5598146:0,03044821:-0,8275153#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862894:1,023263:-0,01470569/-0,5296708:0,5708455:0,4274685:-0,4591897#0,2841697:1,060982:-0,1723186/-0,4140899:-0,4482617:-0,5385173:-0,5810249
15:59:36#0,05486736:0,8444437:-0,1568519/0,03000038:0,5597923:0,03045166:-0,8275297#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862866:1,023257:-0,01472825/-0,5296559:0,5708294:0,427487:-0,4592095#0,2841598:1,06098:-0,1723356/-0,4141089:-0,448282:-0,5385029:-0,5810094
15:59:36#0,05486766:0,8444447:-0,1568525/0,02999423:0,5597873:0,03044406:-0,8275335#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862804:1,023255:-0,01472068/-0,5296646:0,5708388:0,4274763:-0,4591979#0,2841496:1,060971:-0,1723287/-0,4140978:-0,4482702:-0,5385114:-0,5810184
15:59:36#0,05486855:0,8444462:-0,156853/0,02998339:0,5597866:0,03043626:-0,8275347#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862863:1,023258:-0,01471823/-0,5296668:0,5708411:0,4274737:-0,4591952#0,2841545:1,060971:-0,1723274/-0,4140952:-0,4482676:-0,5385133:-0,5810208
