20:56:34#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
20:56:34#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
20:56:34#0,8776275:0,528931:-0,9726356/0,002855734:0,7715968:-0,03582119:-0,6350961#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,07504915:-0,249703:0,1990144/-0,7045231:0,07365412:-0,06054911:-0,703247#0,4174488:-0,2513235:-1,542833/-0,08173707:-0,7046401:0,7024385:-0,05815199
20:56:34#0,8776265:0,5289296:-0,9726403/0,002846291:0,771584:-0,03578987:-0,6351135#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#1,200404:0,4042137:-0,9332394/0,9900907:-0,03193631:-0,07055739:0,1171422#1,231578:0,4932021:-1,237006/0,1247138:-0,05166429:0,9906639:0,0190399
20:56:34#0,877627:0,5289305:-0,972639/0,002839841:0,7715916:-0,03579278:-0,6351041#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864666:0,3603134:-1,07179/0,990093:-0,0319402:-0,07052526:0,1171413#0,7013555:0,3657565:-1,130517/0,1246819:-0,05166496:0,9906679:0,01903828
20:56:34#0,8776265:0,5289294:-0,9726371/0,002861589:0,771592:-0,03580663:-0,6351027#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864664:0,3603255:-1,071779/0,9900922:-0,03193887:-0,07053649:0,1171416#0,701356:0,3657635:-1,130492/0,1246928:-0,05166461:0,9906666:0,01903883
20:56:34#0,8776277:0,5289319:-0,9726394/0,002848652:0,771578:-0,03582475:-0,6351188#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864554:0,3603215:-1,071769/0,9900905:-0,03193622:-0,07055885:0,1171424#0,7013419:0,3657603:-1,130475/0,1247153:-0,05166444:0,9906638:0,01904
20:56:34#0,8776268:0,52893:-0,972639/0,002867659:0,7715756:-0,03582542:-0,6351215#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864721:0,3603252:-1,071778/0,9900919:-0,03193839:-0,07054085:0,1171418#0,7013595:0,3657681:-1,130497/0,1246973:-0,05166455:0,9906658:0,01903903
20:56:34#0,8776286:0,5289333:-0,9726369/0,002848377:0,7715859:-0,03584313:-0,6351083#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864668:0,3603191:-1,071778/0,9900932:-0,03194071:-0,07052094:0,1171411#0,7013562:0,3657579:-1,1305/0,1246774:-0,05166501:0,9906685:0,01903803
20:56:34#0,8776263:0,528929:-0,9726383/0,002874365:0,7715788:-0,03582009:-0,6351179#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864697:0,3603282:-1,071769/0,9900914:-0,03193751:-0,07054836:0,117142#0,7013566:0,3657695:-1,130484/0,1247049:-0,05166455:0,990665:0,0190394
20:56:34#0,8776244:0,5289254:-0,9726386/0,002891259:0,7715804:-0,03579415:-0,6351174#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864569:0,3603106:-1,071779/0,9900925:-0,03193912:-0,07053509:0,1171416#0,7013439:0,3657517:-1,130499/0,1246915:-0,05166478:0,9906665:0,01903883
20:56:35#0,8776263:0,528929:-0,9726393/0,002862781:0,7715807:-0,03580444:-0,6351166#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864566:0,36031:-1,071776/0,990092:-0,03193887:-0,07053646:0,1171416#0,7013447:0,3657528:-1,130497/0,1246931:-0,05166475:0,9906665:0,01903883
20:56:35#0,8776253:0,5289274:-0,9726394/0,002864582:0,7715852:-0,03578436:-0,6351122#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864763:0,3603245:-1,071777/0,9900928:-0,0319396:-0,07053021:0,1171414#0,7013657:0,3657694:-1,130501/0,1246867:-0,05166484:0,9906673:0,01903856
20:56:35#0,8776263:0,5289289:-0,9726368/0,002851029:0,7716023:-0,03578492:-0,6350915#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864688:0,3603163:-1,071784/0,9900939:-0,031942:-0,07051072:0,1171408#0,7013608:0,3657572:-1,130511/0,1246671:-0,05166517:0,9906697:0,01903748
20:56:35#0,8776248:0,5289263:-0,9726396/0,002869182:0,771586:-0,03577533:-0,6351117#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864582:0,3603238:-1,071769/0,9900904:-0,03193581:-0,07056275:0,1171424#0,7013454:0,3657647:-1,130476/0,1247192:-0,05166429:0,9906631:0,01904018
20:56:35#0,8776239:0,5289248:-0,9726403/0,002875284:0,7715843:-0,03576301:-0,6351146#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864588:0,3603139:-1,071781/0,9900919:-0,03193855:-0,07053986:0,1171418#0,7013471:0,3657559:-1,130499/0,1246964:-0,05166464:0,9906661:0,019039
20:56:35#0,8776232:0,5289234:-0,9726418/0,002881328:0,771578:-0,03575379:-0,6351227#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864573:0,3603162:-1,071778/0,9900913:-0,03193763:-0,07054713:0,1171421#0,7013456:0,3657578:-1,130492/0,1247038:-0,0516645:0,9906651:0,01903941
20:56:35#0,8776244:0,5289255:-0,97264/0,002872348:0,7715848:-0,03577024:-0,6351135#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864648:0,3603165:-1,071783/0,9900929:-0,03194002:-0,07052618:0,1171414#0,7013555:0,3657584:-1,130504/0,1246828:-0,05166488:0,9906678:0,01903831
