22:54:20#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
22:54:20#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
22:54:20#1,342509:0,555252:-1,136465/-0,03245419:0,879142:0,001120778:0,4754522#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#-0,2875277:-0,249703:-1,4057/0,2092724:-0,6791975:0,6754435:0,1966519#0,6827413:-0,2513235:0,08085638/0,681493:0,2115371:-0,1888597:0,6746491
22:54:20#1,342506:0,5552545:-1,136466/-0,03242369:0,8791422:0,001104686:0,4754541#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#1,118628:0,4530977:-0,8303509/0,9840995:-0,1106634:0,1224569:0,06562635#1,405123:0,7578081:-0,6423354/-0,2190015:0,1914929:-0,3827524:0,8768523
22:54:21#1,342503:0,555256:-1,136467/-0,03241245:0,8791302:0,001093147:0,4754769#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322128:0,266991:-0,7705349/0,9840963:-0,110665:0,1224804:0,06562382#1,152591:0,5213993:-0,6380456/-0,2189926:0,1914721:-0,3827576:0,8768567
22:54:21#1,342504:0,555254:-1,136468/-0,03239842:0,8791351:0,001113468:0,4754687#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322316:0,2669927:-0,7705122/0,9841009:-0,1106626:0,122445:0,06562786#1,152603:0,5214021:-0,6380342/-0,2190062:0,1915033:-0,3827497:0,8768498
22:54:21#1,342505:0,5552537:-1,136467/-0,03238788:0,8791438:0,001117632:0,4754534#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322374:0,2669884:-0,7705071/0,9841018:-0,1106621:0,1224373:0,06562859#1,152616:0,5213971:-0,6380381/-0,2190091:0,1915103:-0,3827481:0,8768483
22:54:21#1,342505:0,5552537:-1,136467/-0,03238788:0,8791438:0,001117632:0,4754534#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322248:0,2669894:-0,7705166/0,9840995:-0,1106632:0,1224543:0,06562673#1,152609:0,5213976:-0,6380439/-0,2190025:0,191495:-0,3827518:0,8768516
22:54:21#1,342504:0,5552541:-1,136468/-0,03239896:0,8791382:0,001112235:0,4754631#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322183:0,2669894:-0,7705267/0,9840984:-0,110664:0,1224651:0,06562545#1,152599:0,5213976:-0,638047/-0,2189982:0,1914855:-0,3827543:0,8768538
22:54:21#1,342502:0,5552551:-1,136468/-0,03240188:0,8791295:0,001103169:0,4754789#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322171:0,2669895:-0,7705354/0,9840973:-0,1106643:0,1224723:0,06562468#1,15259:0,5213983:-0,6380462/-0,2189955:0,1914791:-0,3827559:0,8768551
22:54:21#1,342501:0,5552571:-1,136468/-0,03236208:0,8791376:0,001093183:0,4754667#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322351:0,2669907:-0,7705131/0,9841012:-0,1106623:0,1224412:0,06562808#1,152606:0,5214005:-0,6380363/-0,2190076:0,1915067:-0,3827489:0,8768491
22:54:21#1,342502:0,555257:-1,136467/-0,03237649:0,8791372:0,001091589:0,4754665#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322147:0,2669967:-0,7705207/0,9840994:-0,1106633:0,122454:0,06562671#1,152589:0,5214056:-0,6380412/-0,2190027:0,1914954:-0,3827517:0,8768516
22:54:21#1,342503:0,5552577:-1,136466/-0,03238318:0,8791414:0,001084679:0,4754582#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322256:0,2669952:-0,7705083/0,9841007:-0,1106626:0,1224452:0,06562759#1,152603:0,5214039:-0,6380345/-0,219006:0,191503:-0,3827497:0,8768499
22:54:21#1,342502:0,5552562:-1,136468/-0,03237729:0,8791381:0,001098785:0,4754649#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322152:0,2669969:-0,7705164/0,9840987:-0,1106637:0,1224617:0,06562589#1,152593:0,5214052:-0,6380364/-0,2189997:0,1914886:-0,3827534:0,8768531
22:54:21#1,342502:0,5552562:-1,136468/-0,03237729:0,8791381:0,001098785:0,4754649#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322197:0,2669936:-0,770519/0,9840995:-0,1106632:0,1224543:0,06562686#1,152595:0,521402:-0,6380408/-0,2190025:0,1914952:-0,3827519:0,8768516
22:54:21#1,342501:0,5552574:-1,136468/-0,03237453:0,8791352:0,001088378:0,4754703#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,832217:0,2669938:-0,7705244/0,9840987:-0,1106636:0,1224607:0,06562608#1,152591:0,5214027:-0,6380416/-0,219:0,1914896:-0,3827533:0,8768528
22:54:21#1,342501:0,555261:-1,136465/-0,03235175:0,8791465:0,001063567:0,4754511#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322303:0,2669964:-0,7705/0,9841021:-0,1106618:0,1224335:0,06562905#1,152608:0,5214056:-0,638032/-0,2190106:0,1915134:-0,3827471:0,8768476
22:54:21#1,3425:0,5552627:-1,136465/-0,03235597:0,8791431:0,001047677:0,4754571#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322029:0,267005:-0,7705109/0,9840986:-0,1106637:0,1224614:0,06562591#1,152585:0,5214131:-0,638034/-0,2189998:0,1914889:-0,3827534:0,876853
