15:49:46#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
15:49:46#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
15:49:47#0,05483991:0,8443923:-0,1568304/0,03054664:0,5595863:0,03020419:-0,827658#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,5744867:-0,249703:0,1370988/-0,6928023:-0,128647:0,1415764:-0,6952921#-0,08482745:-0,2513235:-1,511105/0,1206663:-0,6922352:0,6968073:0,1439085
15:49:47#0,05483872:0,8443933:-0,156833/0,03053652:0,5595701:0,03020776:-0,8276692#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4723708:0,5884197:0,6626844/-0,6927994:-0,1286608:0,1415902:-0,6952895#-0,1870089:0,5867993:-0,9854931/0,1206802:-0,6922324:0,6968049:0,1439223
15:49:47#0,0548352:0,844391:-0,1568348/0,03055437:0,5595487:0,03022128:-0,8276825#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4724108:0,5884216:0,6626582/-0,6927959:-0,1286786:0,1416079:-0,6952863#-0,1870531:0,5868012:-0,9854857/0,1206979:-0,6922287:0,6968018:0,1439399
15:49:47#0,0548365:0,8443922:-0,1568345/0,03054502:0,5595547:0,03021548:-0,827679#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862487:1,023162:-0,01465651/-0,5296701:0,5708449:0,4274693:-0,4591905#0,2840265:1,06083:-0,1722687/-0,4140908:-0,4482625:-0,538517:-0,5810243
15:49:47#0,05483687:0,8443951:-0,1568371/0,03051954:0,5595448:0,0302135:-0,8276867#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862622:1,023164:-0,01466228/-0,5296616:0,5708358:0,4274798:-0,4592018#0,2840355:1,060832:-0,1722728/-0,4141015:-0,4482742:-0,5385087:-0,5810153
15:49:47#0,05483551:0,844395:-0,1568387/0,0305216:0,5595287:0,03021099:-0,8276976#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862685:1,023171:-0,01467854/-0,529659:0,5708328:0,4274831:-0,4592054#0,2840354:1,060837:-0,1722846/-0,4141049:-0,4482778:-0,538506:-0,5810126
15:49:47#0,05483676:0,844398:-0,1568403/0,03049935:0,5595216:0,03019618:-0,8277039#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862672:1,023175:-0,01467645/-0,5296631:0,5708373:0,427478:-0,4591997#0,2840297:1,060836:-0,1722782/-0,4140996:-0,4482721:-0,5385101:-0,5810171
15:49:47#0,05483676:0,844398:-0,1568403/0,03049935:0,5595216:0,03019618:-0,8277039#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862754:1,023183:-0,01467666/-0,5296673:0,5708416:0,4274729:-0,4591946#0,284037:1,060841:-0,1722783/-0,4140946:-0,4482665:-0,5385139:-0,5810212
15:49:47#0,05483617:0,8444001:-0,1568434/0,03048266:0,559501:0,03018842:-0,8277186#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862804:1,023184:-0,01469007/-0,5296564:0,5708299:0,4274864:-0,4592091#0,2840341:1,060842:-0,1722834/-0,4141082:-0,4482814:-0,5385033:-0,5810098
15:49:47#0,05483617:0,8444001:-0,1568434/0,03048266:0,559501:0,03018842:-0,8277186#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862803:1,023191:-0,01468951/-0,5296672:0,5708416:0,427473:-0,4591945#0,2840325:1,060844:-0,1722835/-0,4140945:-0,4482667:-0,5385138:-0,5810213
15:49:47#0,05483644:0,8444011:-0,1568441/0,03047884:0,5594922:0,03017389:-0,8277252#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,3862839:1,023193:-0,0146918/-0,5296627:0,570837:0,4274785:-0,4592005#0,2840322:1,060844:-0,1722813/-0,4141001:-0,4482728:-0,5385095:-0,5810167
