18:16:01"
18:16:010,22","0","-0,63","0","0","0","1","0,2758","-0,0157","-0,7387","0","0","0","1","0,1642","-0,0157","-0,7387","0","0","0","1","0,8876261","1,385232","-0,525043","-0,4948052","-0,4958405","0,5051601","-0,5041065","-0,8875526","1,383611","-0,5284559","0,4900758","-0,4930298","0,5098298","0,506775"
18:16:020,22","0","-0,63","0","0","0","1","0,2758","-0,0157","-0,7387","0","0","0","1","0,1642","-0,0157","-0,7387","0","0","0","1","1,107625","-0,249703","-0,7020974","-0,4948052","-0,4958405","0,5051601","-0,5041065","-0,6675535","-0,2513235","-0,7055103","0,4900758","-0,4930298","0,5098298","0,506775"
18:16:020,9761652","0,5551034","-0,9952265","0,01380418","0,9590424","-0,03651199","-0,2805606","0,364031","0,9345237","0,4597167","-0,5404094","0,1795052","-0,3672133","-0,7354522","0,3202174","0,9383438","0,5557963","-0,3320607","-0,431064","0,5909073","-0,5956073","-0,5134453","-0,249703","-0,1764879","0,6240124","-0,3441556","0,3326071","0,6176877","0,9822813","-0,2513235","-1,13256","0,3512701","0,6250623","-0,6137671","0,3304489"
18:16:020,9761649","0,5551055","-0,9952247","0,0137846","0,9590478","-0,0365198","-0,2805417","0,364031","0,9345237","0,4597167","-0,5404094","0,1795052","-0,3672133","-0,7354522","0,3202174","0,9383438","0,5557963","-0,3320607","-0,431064","0,5909073","-0,5956073","0,9720293","0,4956733","-0,327916","0,9086006","-0,03393557","-0,3577167","0,2129137","1,248011","0,459272","-0,4999581","0,9693343","0,09006385","-0,05429547","0,2221071"
18:16:020,9761653","0,5551054","-0,9952251","0,01379099","0,9590455","-0,03652253","-0,280549","0,364031","0,9345237","0,4597167","-0,5404094","0,1795052","-0,3672133","-0,7354522","0,3202174","0,9383438","0,5557963","-0,3320607","-0,431064","0,5909073","-0,5956073","0,7093107","0,336329","-0,2325749","0,9085906","-0,0339297","-0,3577418","0,2129147","1,037659","0,2939045","-0,4631651","0,9693327","0,09006994","-0,05432232","0,2221047"
18:16:020,9761672","0,5551081","-0,9952251","0,01376947","0,9590441","-0,03653608","-0,2805529","0,364031","0,9345237","0,4597167","-0,5404094","0,1795052","-0,3672133","-0,7354522","0,3202174","0,9383438","0,5557963","-0,3320607","-0,431064","0,5909073","-0,5956073","0,7093065","0,3363284","-0,2325757","0,9085921","-0,03393044","-0,3577385","0,2129144","1,037654","0,2939035","-0,4631677","0,9693329","0,09006915","-0,05431883","0,222105"
18:16:020,976168","0,5551068","-0,995227","0,01376482","0,959042","-0,03652078","-0,2805625","0,364031","0,9345237","0,4597167","-0,5404094","0,1795052","-0,3672133","-0,7354522","0,3202174","0,9383438","0,5557963","-0,3320607","-0,431064","0,5909073","-0,5956073","0,7093225","0,3363345","-0,2325705","0,9085904","-0,03392937","-0,3577432","0,2129147","1,037667","0,2939095","-0,4631679","0,9693325","0,09007028","-0,05432369","0,2221046"
18:16:020,9761684","0,5551096","-0,9952253","0,01374231","0,9590462","-0,03653324","-0,2805474","0,364031","0,9345237","0,4597167","-0,5404094","0,1795052","-0,3672133","-0,7354522","0,3202174","0,9383438","0,5557963","-0,3320607","-0,431064","0,5909073","-0,5956073","0,7092907","0,3363286","-0,232591","0,9085993","-0,03393474","-0,3577203","0,2129139","1,037645","0,2939036","-0,4631773","0,9693341","0,09006473","-0,05429955","0,2221068"
18:16:020,9761684","0,5551096","-0,9952253","0,01374231","0,9590462","-0,03653324","-0,2805474","0,364031","0,9345237","0,4597167","-0,5404094","0,1795052","-0,3672133","-0,7354522","0,3202174","0,9383438","0,5557963","-0,3320607","-0,431064","0,5909073","-0,5956073","0,7093135","0,3363346","-0,2325802","0,9085935","-0,03393126","-0,3577348","0,2129143","1,037665","0,2939103","-0,4631682","0,9693333","0,09006815","-0,05431479","0,2221054"
18:16:020,976167","0,5551046","-0,9952276","0,01375792","0,9590465","-0,03649543","-0,2805507","0,364031","0,9345237","0,4597167","-0,5404094","0,1795052","-0,3672133","-0,7354522","0,3202174","0,9383438","0,5557963","-0,3320607","-0,431064","0,5909073","-0,5956073","0,7093145","0,3363333","-0,232579","0,9085926","-0,03393088","-0,3577368","0,2129145","1,037665","0,293909","-0,4631689","0,9693331","0,09006879","-0,05431697","0,2221051"
