"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Union(cm3),Intersection (%)
"Approach""",1,T3,11:36:48:520,34.68405,58.16692,1.564782,4.5
"Approach""",1,T3,11:37:14:854,43.40438,49.00008,40.99668,94.5
"Approach""",1,T3,11:37:39:038,42.86298,33.5003,19.48519,45.5
"Approach""",1,T3,11:38:05:916,36.06524,34.99973,14.61555,40.5
"Approach""",1,T3,11:38:27:658,34.9538,39.33223,22.72645,65
"Approach""",1,T3,11:38:46:197,21.99181,22.16677,10.14931,46.2
"Approach""",1,T3,11:39:08:888,56.52115,55.1669,56.40189,99.8
"Approach""",1,T3,11:39:39:358,27.14006,32.16782,21.37428,78.8
"Approach""",1,T3,11:40:20:008,143.2492,50.00046,33.56415,23.4
"Approach""",1,T3,11:40:51:898,693.0698,163.9988,0,0
"Approach""",1,T3,11:41:15:858,13.93109,26.99947,9.620432,69.1
"Approach""",1,T3,11:41:50:911,85.9481,78.50038,57.25293,66.6
"Approach""",1,T3,11:42:17:011,19.99948,32.49931,14.78634,73.9
"Approach""",1,T3,11:42:47:916,88.84184,188.6623,0,0
"Approach""",1,T3,11:43:25:405,43.83906,32.49744,21.0864,48.1
