"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Intersection(cm3),Intersection (%)
"Veridical""",2,T2,11:19:33:823,41.46659,34.333,18.17708,43.8
"Veridical""",2,T2,11:20:07:103,71.1741,58.49958,20.45744,28.7
"Veridical""",2,T2,11:20:26:665,42.17351,66.50005,20.65407,49
"Veridical""",2,T2,11:20:46:582,24.40058,36.83322,19.91269,81.6
"Veridical""",2,T2,11:21:02:250,18.07416,20.83215,5.19927,28.8
"Veridical""",2,T2,11:21:19:000,29.28234,25.00104,3.706985,12.7
"Veridical""",2,T2,11:21:57:251,Error computing: Can't generate hull. points are coplanar!,,,
"Veridical""",2,T2,11:22:15:492,15.02844,22.49857,4.371942,29.1
"Veridical""",2,T2,11:22:31:241,30.52439,35.66663,20.93651,68.6
"Veridical""",2,T2,11:23:05:009,12.70447,47.33662,11.56269,91
"Veridical""",2,T2,11:23:21:822,28.63535,42.49963,19.47374,68
"Veridical""",2,T2,11:23:41:585,8.171045,10.33357,0,0
"Veridical""",2,T2,11:23:58:725,43.01043,89.3346,0,0
"Veridical""",2,T2,11:24:12:455,6.398402,4.500419,1.887245,29.5
"Veridical""",2,T2,11:24:35:804,69.67098,89.16238,52.99844,76.1
"Veridical""",2,T2,11:24:51:517,34.6504,12.50022,11.26262,32.5
