Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Approach","1","T3","11:36:03:889","11:36:48:296","00:00:44.4074397"
Approach","1","T3","11:36:50:937","11:37:14:656","00:00:23.7190798"
Approach","1","T3","11:37:16:089","11:37:38:647","00:00:22.5581517"
Approach","1","T3","11:37:41:448","11:38:05:499","00:00:24.0515085"
Approach","1","T3","11:38:07:669","11:38:27:441","00:00:19.7723316"
Approach","1","T3","11:38:28:555","11:38:46:048","00:00:17.4936481"
Approach","1","T3","11:38:47:662","11:39:08:759","00:00:21.0976383"
Approach","1","T3","11:39:10:380","11:39:39:125","00:00:28.7446761"
Approach","1","T3","11:39:41:360","11:40:19:446","00:00:38.0867170"
Approach","1","T3","11:40:21:267","11:40:51:068","00:00:29.8017169"
Approach","1","T3","11:40:53:135","11:41:15:804","00:00:22.6690159"
Approach","1","T3","11:41:18:628","11:41:50:597","00:00:31.9690869"
Approach","1","T3","11:41:51:936","11:42:16:914","00:00:24.9779179"
Approach","1","T3","11:42:18:290","11:42:47:748","00:00:29.4579384"
Approach","1","T3","11:42:50:941","11:43:25:205","00:00:34.2642242"
Approach","1","T3","11:43:26:671","11:44:35:268","00:01:08.5961481"
