Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Veridical","4","T1","12:46:52:702","12:47:18:382","00:00:25.6801720"
Veridical","4","T1","12:47:20:682","12:47:38:723","00:00:18.0411609"
