Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Approach","3","T3","12:24:04:214","12:24:43:947","00:00:39.7326484"
Approach","3","T3","12:25:28:325","12:26:14:653","00:00:46.3284168"
Approach","3","T3","12:26:18:924","12:26:41:626","00:00:22.7019725"
Approach","3","T3","12:26:45:458","12:27:16:252","00:00:30.7941341"
Approach","3","T3","12:27:19:167","12:27:52:205","00:00:33.0379079"
Approach","3","T3","12:27:57:074","12:28:38:448","00:00:41.3738727"
Approach","3","T3","12:28:40:232","12:28:55:554","00:00:15.3215906"
Approach","3","T3","12:28:56:503","12:29:11:928","00:00:15.4248452"
Approach","3","T3","12:29:14:678","12:29:35:107","00:00:20.4284560"
Approach","3","T3","12:29:43:880","12:30:05:675","00:00:21.7940901"
Approach","3","T3","12:30:08:768","12:30:32:134","00:00:23.3652457"
Approach","3","T3","12:30:34:348","12:31:06:037","00:00:31.6889816"
Approach","3","T3","12:31:15:373","12:31:34:601","00:00:19.2280118"
Approach","3","T3","12:31:36:061","12:31:55:354","00:00:19.2932886"
Approach","3","T3","12:31:57:090","12:32:17:219","00:00:20.1289359"
Approach","3","T3","12:32:23:893","12:32:47:220","00:00:23.3262830"
