Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Veridical","3","T2","12:42:18:352","12:42:39:912","00:00:21.5600047"
Veridical","3","T2","12:42:41:733","12:42:59:147","00:00:17.4141558"
Veridical","3","T2","12:43:01:612","12:43:20:098","00:00:18.4861807"
Veridical","3","T2","12:43:25:965","12:43:43:928","00:00:17.9629830"
Veridical","3","T2","12:43:45:008","12:44:04:691","00:00:19.6831172"
Veridical","3","T2","12:44:06:362","12:44:22:810","00:00:16.4482802"
Veridical","3","T2","12:44:24:251","12:44:43:008","00:00:18.7572157"
Veridical","3","T2","12:44:44:054","12:45:01:893","00:00:17.8384664"
Veridical","3","T2","12:45:07:146","12:45:23:757","00:00:16.6110348"
Veridical","3","T2","12:45:24:854","12:45:39:701","00:00:14.8473935"
Veridical","3","T2","12:45:41:635","12:46:01:074","00:00:19.4384741"
Veridical","3","T2","12:46:03:899","12:46:18:910","00:00:15.0111795"
Veridical","3","T2","12:46:21:289","12:46:34:205","00:00:12.9167085"
Veridical","3","T2","12:46:38:869","12:46:56:039","00:00:17.1696871"
Veridical","3","T2","12:46:57:223","12:47:14:174","00:00:16.9509248"
Veridical","3","T2","12:47:15:906","12:47:35:048","00:00:19.1413721"
