"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
14:20:10:267",""
14:20:10:309","0","-0.16","-0.5","0","0","0","1","0.0558","-0.1757","-0.6087","0","0","0","1","-0.0558","-0.1757","-0.6087","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
14:20:10:865","0","-0.16","-0.5","0","0","0","1","0.0558","-0.1757","-0.6087","0","0","0","1","-0.0558","-0.1757","-0.6087","0","0","0","1","0.8876251","-0.409703","-0.5720974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4113234","-0.5755103","0.4900758","-0.4930298","0.5098298","0.506775"
14:20:10:898","-0.5748355","0.917977","0.2592263","-0.06663374","0.8488289","-0.01968682","-0.5240821","-0.5203661","0.9879535","0.4558471","0.5750161","-0.2547275","0.2985383","0.7178755","-0.6814079","0.9781996","0.3100991","-0.6652631","0.1186475","-0.03961506","-0.736056","-0.3791564","-0.409703","0.2559077","-0.6894026","0.1701021","-0.1572991","-0.6863282","0.4268343","-0.4113234","-1.325753","-0.1779959","-0.6898497","0.6844108","-0.1549411"
14:20:10:919","-0.5748358","0.9179771","0.2592279","-0.06664812","0.8488407","-0.01967218","-0.5240615","-0.5203614","0.9879516","0.4558424","0.574999","-0.2547302","0.2985252","0.7178937","-0.681412","0.9781983","0.3100996","-0.6652672","0.1186358","-0.03962957","-0.7360534","-0.865676","0.6777903","1.126373","-0.6893987","0.170119","-0.1573161","-0.6863241","-0.05960712","0.6761699","-0.4552483","-0.1780127","-0.6898459","0.6844065","-0.1549581"
14:20:10:940","-0.5748362","0.9179763","0.2592285","-0.06664753","0.8488451","-0.0196638","-0.5240548","-0.5203612","0.9879514","0.4558449","0.5749991","-0.2547414","0.2985299","0.7178877","-0.6814141","0.978197","0.3100976","-0.6652632","0.1186328","-0.03964369","-0.7360567","-0.8656895","0.6777898","1.126367","-0.6893975","0.1701245","-0.1573215","-0.6863227","-0.0595957","0.6761694","-0.455241","-0.1780182","-0.6898446","0.6844051","-0.1549635"
14:20:10:964","-0.5748355","0.9179779","0.2592286","-0.06665304","0.8488426","-0.01967767","-0.5240576","-0.5203601","0.987951","0.4558423","0.5749996","-0.2547311","0.2985186","0.7178956","-0.6814144","0.978197","0.3100978","-0.6652644","0.1186332","-0.03964571","-0.7360554","-0.5546599","0.7913285","0.5292597","0.919575","-0.08012079","-0.3669951","0.1152262","-0.7171625","0.7772776","0.3690453","0.6199744","0.009962767","0.7764047","0.1128215"
14:20:10:996","-0.5748347","0.9179794","0.2592272","-0.0666703","0.8488387","-0.01967387","-0.5240619","-0.5203573","0.9879497","0.4558419","0.5749989","-0.2547341","0.2985066","0.7179002","-0.6814167","0.9781961","0.3100979","-0.6652662","0.1186258","-0.03965309","-0.7360547","-0.5546515","0.7913358","0.5292616","0.9195676","-0.08012451","-0.3670116","0.11523","-0.7171564","0.7772839","0.3690472","0.6199743","0.009962369","0.7764049","0.1128195"
14:20:11:033","-0.574837","0.9179754","0.2592311","-0.06663677","0.8488547","-0.01966668","-0.5240405","-0.5203565","0.9879494","0.4558433","0.5749995","-0.2547408","0.2985054","0.7178978","-0.6814193","0.9781951","0.3100972","-0.6652665","0.1186214","-0.03966726","-0.7360544","-0.5546641","0.7913338","0.5292503","0.9195753","-0.08013771","-0.3669914","0.1152232","-0.7171565","0.7772809","0.3690266","0.6199521","0.009965282","0.7764235","0.1128111"
14:20:11:062","-0.5748362","0.9179765","0.2592292","-0.06664336","0.8488458","-0.01967108","-0.5240538","-0.5203544","0.9879484","0.4558411","0.5749927","-0.2547406","0.2984985","0.7179062","-0.6814263","0.9781927","0.3100972","-0.6652703","0.1186004","-0.0396906","-0.736053","-0.5546654","0.7913208","0.5292716","0.9195625","-0.08013566","-0.3670249","0.1152208","-0.7171668","0.777267","0.3690605","0.6199782","0.009978488","0.7764041","0.1128012"
14:20:11:091","-0.5748366","0.9179752","0.2592277","-0.06664675","0.8488446","-0.01965111","-0.5240561","-0.5203496","0.9879464","0.4558384","0.5749897","-0.2547391","0.2984749","0.7179189","-0.681427","0.9781922","0.3100961","-0.6652717","0.1186076","-0.03970891","-0.7360496","-0.5546558","0.7913336","0.5292554","0.9195642","-0.08014797","-0.3670173","0.1152241","-0.7171469","0.7772739","0.3690394","0.6199675","0.009996556","0.7764159","0.1127769"
14:20:11:118","-0.5748368","0.9179746","0.2592278","-0.06663325","0.848842","-0.01965987","-0.5240617","-0.5203506","0.9879469","0.4558375","0.5749879","-0.2547356","0.2984792","0.7179198","-0.6814302","0.9781905","0.3100946","-0.6652681","0.1185974","-0.03972004","-0.7360539","-0.5546605","0.791327","0.5292538","0.9195541","-0.080166","-0.3670389","0.1152219","-0.7171513","0.7772663","0.3690362","0.6199572","0.009999499","0.7764254","0.1127691"
14:20:11:148","-0.5748367","0.9179745","0.2592273","-0.06663241","0.8488396","-0.01965998","-0.5240659","-0.5203523","0.9879476","0.4558388","0.5749975","-0.2547297","0.2984796","0.7179142","-0.6814314","0.9781904","0.3100954","-0.6652718","0.1185946","-0.03972463","-0.7360507","-0.5546605","0.7913309","0.5292637","0.9195549","-0.08016373","-0.367036","0.1152267","-0.7171482","0.7772673","0.3690461","0.6199551","0.01001391","0.776428","0.1127624"
14:20:11:175","-0.5748328","0.9179825","0.2592236","-0.06668439","0.8488197","-0.0196925","-0.5240901","-0.5203552","0.987949","0.4558368","0.5749926","-0.2547209","0.2984927","0.7179157","-0.6814382","0.9781889","0.3100977","-0.6652845","0.1185779","-0.03975121","-0.7360406","-0.5546472","0.7913303","0.5292611","0.9195464","-0.08015026","-0.3670614","0.1152243","-0.7171436","0.7772669","0.3690514","0.6199718","0.01001653","0.7764154","0.1127551"
14:20:11:203","-0.574833","0.9179814","0.2592219","-0.0666633","0.8488081","-0.0197031","-0.5241113","-0.5203542","0.9879488","0.4558347","0.5749878","-0.254718","0.2984892","0.717922","-0.6814392","0.978189","0.310099","-0.6652926","0.1185819","-0.03976541","-0.7360318","-0.5546256","0.7913518","0.5292556","0.9195476","-0.08014274","-0.3670554","0.1152382","-0.7171175","0.777281","0.3690402","0.6199669","0.01002641","0.7764242","0.1127221"
14:20:11:231","-0.5748326","0.9179811","0.2592185","-0.06665517","0.8487917","-0.01970845","-0.5241387","-0.5203518","0.9879475","0.4558367","0.5749891","-0.2547291","0.2984811","0.7179204","-0.681448","0.9781859","0.3100988","-0.6652988","0.1185605","-0.03980287","-0.7360276","-0.5546451","0.7913318","0.5292658","0.9195424","-0.08014774","-0.3670656","0.1152441","-0.7171384","0.7772582","0.3690476","0.619963","0.01002334","0.7764292","0.1127089"
14:20:11:257","-0.5748318","0.9179835","0.2592196","-0.06666264","0.8487924","-0.01972802","-0.5241358","-0.5203512","0.9879472","0.4558364","0.5749815","-0.2547356","0.2984855","0.7179224","-0.6814493","0.9781852","0.3100978","-0.6653005","0.1185654","-0.03982215","-0.7360243","-0.5546594","0.7913319","0.5292541","0.9195568","-0.08015999","-0.3670309","0.1152301","-0.7171313","0.7772537","0.3690234","0.6199275","0.0100431","0.7764623","0.112675"
14:20:11:288","-0.5748316","0.9179845","0.2592216","-0.06665403","0.8487945","-0.01975048","-0.5241327","-0.5203458","0.9879448","0.4558332","0.574967","-0.2547435","0.2984701","0.7179376","-0.6814505","0.978184","0.3100952","-0.6652946","0.1185662","-0.03983532","-0.7360288","-0.5546581","0.7913388","0.5292665","0.9195591","-0.08016604","-0.3670231","0.1152336","-0.7171268","0.7772584","0.3690319","0.6199148","0.01004704","0.7764736","0.1126654"
14:20:11:306","-0.5748305","0.9179859","0.2592185","-0.0666693","0.848783","-0.01974931","-0.5241494","-0.5203439","0.9879439","0.4558334","0.5749622","-0.2547518","0.2984669","0.7179397","-0.6814532","0.9781837","0.3100974","-0.6653033","0.1185579","-0.03984274","-0.7360218","-0.5546562","0.791337","0.5292755","0.9195464","-0.08018983","-0.367048","0.1152387","-0.7171272","0.7772543","0.3690464","0.6199243","0.01006056","0.7764663","0.1126642"
14:20:11:327","-0.5748295","0.9179882","0.2592177","-0.0666865","0.848779","-0.01975601","-0.5241534","-0.5203413","0.9879428","0.4558317","0.5749568","-0.2547534","0.2984574","0.7179474","-0.6814544","0.9781833","0.3100971","-0.6653005","0.1185494","-0.03983829","-0.7360259","-0.5546601","0.791337","0.5292568","0.9195527","-0.08020076","-0.3670307","0.1152352","-0.7171217","0.7772524","0.3690205","0.6199143","0.01005909","0.7764765","0.1126489"
14:20:11:346","-0.5748295","0.9179882","0.2592177","-0.0666865","0.848779","-0.01975601","-0.5241534","-0.5203416","0.9879431","0.45583","0.5749562","-0.2547459","0.2984557","0.7179514","-0.6814585","0.9781822","0.3100981","-0.6653075","0.1185401","-0.03985619","-0.7360201","-0.5546628","0.7913395","0.5292631","0.9195511","-0.08021323","-0.3670319","0.1152359","-0.7171211","0.7772543","0.369027","0.6199178","0.01006451","0.7764733","0.1126503"
14:20:11:365","-0.5748305","0.9179853","0.2592161","-0.06668364","0.8487801","-0.01972389","-0.5241533","-0.5203406","0.9879423","0.455834","0.5749618","-0.2547595","0.2984539","0.7179428","-0.6814598","0.9781823","0.3100995","-0.6653119","0.1185345","-0.03985605","-0.736017","-0.5546674","0.7913349","0.5292661","0.9195482","-0.08021245","-0.3670378","0.1152414","-0.7171234","0.7772458","0.3690275","0.619914","0.01007126","0.7764791","0.1126304"
14:20:11:385","-0.5748305","0.9179853","0.2592161","-0.06668364","0.8487801","-0.01972389","-0.5241533","-0.5203405","0.9879423","0.4558343","0.5749637","-0.2547592","0.2984524","0.7179419","-0.681462","0.9781811","0.3100983","-0.6653137","0.1185378","-0.03988078","-0.7360136","-0.554675","0.7913246","0.5292562","0.9195527","-0.08021314","-0.3670311","0.1152262","-0.7171281","0.7772371","0.3690191","0.6199177","0.01007051","0.7764772","0.1126237"
14:20:11:404","-0.5748303","0.9179846","0.2592136","-0.06669695","0.8487762","-0.01970047","-0.5241588","-0.5203394","0.9879417","0.4558353","0.5749614","-0.2547675","0.2984522","0.7179409","-0.6814645","0.9781805","0.3100993","-0.6653177","0.1185292","-0.03988663","-0.736011","-0.5546669","0.7913324","0.5292646","0.9195501","-0.08021175","-0.3670384","0.1152248","-0.7171201","0.7772424","0.369027","0.6199075","0.01007842","0.7764872","0.1126108"
14:20:11:424","-0.5748282","0.9179904","0.2592154","-0.06671774","0.8487745","-0.01974505","-0.5241573","-0.5203394","0.9879417","0.4558347","0.5749674","-0.2547594","0.2984445","0.7179422","-0.6814663","0.9781793","0.3100973","-0.6653136","0.1185265","-0.03989908","-0.7360145","-0.5546718","0.7913293","0.5292529","0.9195554","-0.08021775","-0.3670247","0.1152202","-0.7171181","0.777238","0.3690124","0.619903","0.01008161","0.7764923","0.1126004"
