"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
14:30:32:578","0","0","-0.5","0","0","0","1","0.0558","-0.0157","-0.6087","0","0","0","1","-0.0558","-0.0157","-0.6087","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
14:30:32:640","0","0","-0.5","0","0","0","1","0.0558","-0.0157","-0.6087","0","0","0","1","-0.0558","-0.0157","-0.6087","0","0","0","1","0.8876251","-0.249703","-0.5720974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.2513235","-0.5755103","0.4900758","-0.4930298","0.5098298","0.506775"
14:30:33:482","-0.02621436","1.661347","-0.1035315","-0.1773246","0.01562919","9.261021E-05","-0.9840283","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","0.8879687","-0.249703","-0.5429185","-0.5030387","-0.4874905","0.4969617","-0.5121856","-0.8861393","-0.2513235","-0.6046579","0.4816326","-0.5012901","0.5178134","0.4986056"
14:30:33:528","-0.02677208","1.661765","-0.1015457","-0.1705996","0.02215946","0.001997504","-0.9850892","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.06157234","1.630592","0.06965572","-0.9889059","0.1209441","-0.02431503","-0.08274499","-0.3634777","1.636041","0.09592149","0.6865754","-0.01674897","0.710809","0.151937"
14:30:33:553","-0.02689263","1.661837","-0.100794","-0.1680832","0.0239883","0.002647828","-0.9854774","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1968184","1.094846","0.1650721","-0.9890176","0.1205184","-0.01924537","-0.0833639","-0.4683745","1.087286","0.2226137","0.6902099","-0.01596987","0.70728","0.1520208"
14:30:33:576","-0.02683579","1.661762","-0.09933987","-0.1645757","0.02708679","0.002636203","-0.9859889","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1986542","1.094423","0.1657244","-0.9889941","0.1206168","-0.02041547","-0.08322124","-0.4699173","1.087009","0.2216974","0.6893727","-0.01614965","0.7080961","0.1520018"
14:30:33:600","-0.02685506","1.661633","-0.09946886","-0.1650144","0.02707408","0.002843847","-0.9859154","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1962801","1.093482","0.1695838","-0.9890535","0.1203549","-0.01730856","-0.08359966","-0.4665768","1.086397","0.2254686","0.6915936","-0.0156721","0.7059271","0.1520518"
14:30:33:621","-0.02691139","1.661466","-0.09942546","-0.1648818","0.02738065","0.002654324","-0.9859297","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1973752","1.093692","0.168719","-0.9890488","0.120376","-0.01755927","-0.08356916","-0.4677015","1.086557","0.2246366","0.6914146","-0.01571077","0.7061026","0.1520479"
14:30:33:641","-0.02692973","1.661263","-0.0994066","-0.1648187","0.02789643","0.002681657","-0.9859257","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1974471","1.093515","0.1688505","-0.9890445","0.1203975","-0.0178138","-0.08353819","-0.4677463","1.086421","0.2244446","0.6912329","-0.01574991","0.7062804","0.1520439"
14:30:33:660","-0.02683942","1.661055","-0.09931302","-0.165093","0.02890258","0.002340942","-0.9858516","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1977656","1.093367","0.1688678","-0.9890361","0.1204355","-0.01826268","-0.08348349","-0.4680142","1.086335","0.2239061","0.6909124","-0.01581878","0.7065941","0.1520367"
14:30:33:682","-0.02682165","1.660809","-0.09937745","-0.1653733","0.02935846","0.001994978","-0.985792","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.197085","1.093295","0.1693886","-0.9890466","0.1203875","-0.01769412","-0.08355275","-0.4670888","1.086378","0.2241555","0.6913185","-0.01573152","0.7061968","0.1520458"
14:30:33:704","-0.02669062","1.660583","-0.0994626","-0.1663939","0.02990913","0.0007698779","-0.9856054","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1970419","1.0932","0.1693198","-0.9890474","0.1203839","-0.01765268","-0.08355778","-0.4670004","1.086327","0.2238757","0.6913479","-0.01572515","0.7061678","0.1520464"
14:30:33:723","-0.02662107","1.660387","-0.09964895","-0.1675438","0.03015374","-6.993873E-05","-0.9854034","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1964082","1.093329","0.1692446","-0.9890516","0.1203629","-0.01740384","-0.08358809","-0.4662893","1.086504","0.2237132","0.6915257","-0.0156869","0.7059938","0.1520504"
14:30:33:744","-0.02658569","1.660313","-0.09979782","-0.1683653","0.03075458","-0.001051781","-0.9852443","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1964573","1.093486","0.1686936","-0.9890456","0.1203914","-0.01774005","-0.08354716","-0.4664179","1.086674","0.2228967","0.6912858","-0.01573853","0.7062289","0.152045"
14:30:33:765","-0.02674834","1.660386","-0.09993613","-0.1687471","0.0311999","-0.001528177","-0.9851643","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1960413","1.09364","0.1685638","-0.9890472","0.1203847","-0.01766058","-0.08355682","-0.4659521","1.086884","0.2225097","0.6913424","-0.01572629","0.7061731","0.1520462"
14:30:33:788","-0.02690919","1.660367","-0.1000106","-0.1681831","0.03146884","-0.002094467","-0.9852511","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1959203","1.093806","0.1685026","-0.989051","0.1203665","-0.01744758","-0.08358283","-0.4657878","1.087092","0.2223192","0.6914944","-0.01569358","0.7060243","0.1520498"
14:30:33:813","-0.02713696","1.660431","-0.1000855","-0.1680279","0.03217318","-0.002520633","-0.9852539","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1962005","1.093596","0.1684394","-0.9890424","0.1204072","-0.01792897","-0.08352424","-0.4660999","1.086902","0.2218731","0.6911507","-0.01576749","0.706361","0.152042"
14:30:33:836","-0.02742473","1.660419","-0.1001305","-0.167623","0.0328389","-0.002925558","-0.9852998","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1962211","1.093669","0.1686018","-0.9890431","0.1204038","-0.01788912","-0.08352899","-0.4659898","1.087052","0.2216729","0.6911792","-0.01576137","0.706333","0.1520426"
14:30:33:863","-0.02781947","1.660438","-0.1001888","-0.1677375","0.03358435","-0.003106447","-0.9852546","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1963956","1.093527","0.1687686","-0.9890407","0.1204149","-0.01801853","-0.08351327","-0.4660636","1.086978","0.2213974","0.6910867","-0.01578141","0.7064237","0.1520406"
14:30:33:891","-0.02821341","1.660409","-0.1002429","-0.1680629","0.03405953","-0.003517853","-0.9851814","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1964014","1.093583","0.1690304","-0.9890463","0.120388","-0.01770183","-0.08355179","-0.465883","1.087121","0.22139","0.6913128","-0.01573265","0.706202","0.1520455"
14:30:33:934","-0.02875211","1.660359","-0.1002944","-0.1684584","0.03453289","-0.004120676","-0.985095","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1965022","1.093583","0.1691096","-0.9890469","0.1203851","-0.01766719","-0.08355608","-0.465878","1.087173","0.2212212","0.6913375","-0.01572726","0.7061778","0.1520462"
14:30:33:967","-0.02925089","1.660283","-0.1002586","-0.1687972","0.03460433","-0.004677563","-0.9850321","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1964246","1.093583","0.1693116","-0.9890542","0.1203507","-0.01725848","-0.08360589","-0.4656634","1.087222","0.221397","0.6916295","-0.0156645","0.7058921","0.1520526"
14:30:33:993","-0.02963965","1.660169","-0.1001851","-0.1690446","0.03453077","-0.00504561","-0.9849904","-0.3576352","1.159549","0.4393137","-0.4094008","0.5088703","-0.5003961","-0.5683712","-0.5746998","1.167762","0.4482467","-0.6606303","0.08392236","0.06534516","-0.7431384","-0.1965522","1.093554","0.1694189","-0.9890564","0.1203405","-0.01714019","-0.08362015","-0.4657521","1.087199","0.2215635","0.6917138","-0.01564627","0.7058094","0.1520546"
