"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
12:46:37:590",""
12:46:37:621","-0.65","0","1.59","0","1","0","0","-0.7058","-0.0157","1.6987","0","1","0","0","-0.5942","-0.0157","1.6987","0","1","0","0","-0.8876261","1.385232","-0.4749571","0.5051601","-0.5041065","0.4948052","0.4958405","0.8875526","1.383611","-0.4715442","0.5098298","0.506775","-0.4900758","0.4930298"
12:46:38:032","-0.65","0","1.59","0","1","0","0","-0.7058","-0.0157","1.6987","0","1","0","0","-0.5942","-0.0157","1.6987","0","1","0","0","-1.537627","-0.249703","1.727988","0.5051601","-0.5041065","0.4948052","0.4958405","0.2375516","-0.2513235","1.731401","0.5098298","0.506775","-0.4900758","0.4930298"
12:46:38:058","-0.6824109","1.405143","0.9865953","0.04159075","-0.9358106","-0.3126913","-0.1573309","-0.3506216","1.170579","0.7377316","-0.6306896","-0.2513044","0.1662733","-0.7151433","-0.2714053","1.167884","0.7710984","0.2790768","-0.723933","0.5978921","0.2014007","-1.494715","-0.249703","1.429149","0.4136927","-0.5810599","0.5734782","0.4029275","0.1767199","-0.2513235","2.027125","0.5857199","0.4155859","-0.3962739","0.5720032"
12:46:38:077","-0.6823726","1.405147","0.98658","0.04160683","-0.935765","-0.3127398","-0.1575013","-0.3506255","1.17058","0.7377307","-0.6306845","-0.2513233","0.1662777","-0.7151402","-0.2714112","1.167897","0.7710677","0.2790748","-0.7239328","0.597896","0.2013925","-1.525579","1.133446","0.7314115","0.4135746","-0.5811428","0.5735634","0.4028079","0.1456094","1.131825","1.330076","0.5858015","0.4154681","-0.3961532","0.5720888"
12:46:38:094","-0.6823401","1.405153","0.9865718","0.04163545","-0.935738","-0.3127696","-0.1575954","-0.3506271","1.17058","0.7377294","-0.6306793","-0.2513311","0.1662818","-0.7151411","-0.2714159","1.167904","0.7710564","0.2790785","-0.7239389","0.5978886","0.2013874","-1.525486","1.133451","0.7311969","0.4135134","-0.5811858","0.5736076","0.4027459","0.1455747","1.131831","1.330218","0.5858437","0.4154071","-0.3960907","0.5721331"
12:46:38:114","-0.6822823","1.405178","0.9865674","0.04166486","-0.9357078","-0.3127491","-0.1578066","-0.3506262","1.170579","0.7377279","-0.6306769","-0.2513344","0.1663013","-0.7151374","-0.2714102","1.167923","0.7710325","0.2790761","-0.7239392","0.5978865","0.201396","-0.3783098","0.9660949","0.8287244","-0.4628116","0.008819623","0.8780723","-0.1213126","-0.2889003","0.9699932","0.696148","0.4172068","0.1294961","-0.897943","-0.05355272"
12:46:38:145","-0.682251","1.405179","0.9865614","0.04168619","-0.9356781","-0.3128193","-0.1578378","-0.350628","1.170579","0.7377281","-0.6306758","-0.251342","0.166301","-0.7151358","-0.2714059","1.167927","0.7710308","0.2790624","-0.7239515","0.5978779","0.2013963","-0.3782957","0.9661163","0.8285694","-0.462622","0.008802332","0.8781732","-0.1213059","-0.2890067","0.9700305","0.6959857","0.417024","0.1294813","-0.8980282","-0.0535854"
12:46:38:168","-0.6821878","1.405198","0.9865538","0.04168129","-0.9356","-0.3129443","-0.1580543","-0.3506318","1.170579","0.737727","-0.6306698","-0.2513603","0.166306","-0.7151335","-0.2714234","1.16791","0.7710541","0.2790711","-0.7239519","0.5978722","0.2013995","-0.3781694","0.9661032","0.8286644","-0.4628285","0.008827024","0.8780643","-0.1213076","-0.2888706","0.9700153","0.6961427","0.4172488","0.1294977","-0.8979222","-0.05357127"
12:46:38:187","-0.6820958","1.405217","0.9865481","0.04170993","-0.9355062","-0.3131029","-0.158288","-0.3506342","1.17058","0.7377271","-0.6306692","-0.2513765","0.1663177","-0.7151257","-0.2714147","1.16793","0.7710416","0.2790652","-0.7239705","0.5978597","0.2013782","-0.3780607","0.9661303","0.8285847","-0.4628245","0.008823266","0.8780652","-0.121316","-0.288865","0.9700181","0.6961494","0.4172519","0.1295039","-0.8979198","-0.05356997"
