"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
14:12:47:337","0","-0.16","-0.5","0","0","0","1","0.0558","-0.1757","-0.6087","0","0","0","1","-0.0558","-0.1757","-0.6087","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
14:12:47:376","0","-0.16","-0.5","0","0","0","1","0.0558","-0.1757","-0.6087","0","0","0","1","-0.0558","-0.1757","-0.6087","0","0","0","1","0.8876251","-0.409703","-0.5720974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4113234","-0.5755103","0.4900758","-0.4930298","0.5098298","0.506775"
14:12:47:945","-0.5884544","1.123707","0.4092113","-0.03778138","-0.2745715","0.01892285","-0.9606379","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","0.7406349","-0.409703","-1.036917","-0.3371293","-0.6151725","0.6215808","-0.3486316","-0.7688174","-0.4113234","-0.1026666","0.6112003","-0.3349788","0.3557175","0.6226464"
14:12:47:989","-0.5884572","1.123716","0.4092088","-0.03781972","-0.2745549","0.01898327","-0.9606398","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","0.1026878","0.8811067","-0.1234728","-0.3371411","-0.6151659","0.6215745","-0.3486433","-1.4068","0.8794863","0.8107207","0.6111936","-0.3349906","0.355729","0.62264"
14:12:48:015","-0.5884585","1.123714","0.409211","-0.03780517","-0.2745694","0.01898702","-0.9606362","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","0.1026558","0.881125","-0.1235037","-0.3371319","-0.6151711","0.6215794","-0.3486342","-1.406804","0.8795046","0.8107345","0.6111988","-0.3349814","0.35572","0.622645"
14:12:48:047","-0.5884551","1.123712","0.409209","-0.03779192","-0.274543","0.01897187","-0.9606445","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","-0.0690574","1.004784","0.226152","-0.4781348","0.5154732","0.4844252","-0.5205834","-0.4019531","0.9901447","0.394672","-0.4721286","-0.5108721","-0.4884323","-0.526819"
14:12:48:072","-0.5884551","1.123711","0.4092094","-0.037782","-0.2745398","0.01898055","-0.9606457","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","-0.06904703","1.00478","0.2261251","-0.4781235","0.515461","0.4844363","-0.5205954","-0.401942","0.9901398","0.3946499","-0.47214","-0.5108844","-0.4884212","-0.5268071"
14:12:48:098","-0.5884528","1.123709","0.4092082","-0.03777004","-0.2745223","0.0189686","-0.9606514","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","-0.06904393","1.004782","0.2261437","-0.4781304","0.5154683","0.4844298","-0.5205883","-0.4019449","0.9901406","0.394658","-0.4721332","-0.5108768","-0.4884281","-0.5268145"
14:12:48:132","-0.5884526","1.123713","0.4092053","-0.0377954","-0.274502","0.0189884","-0.9606558","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","-0.06903082","1.004777","0.2261486","-0.4781322","0.5154703","0.484428","-0.5205865","-0.4019375","0.9901365","0.3946535","-0.4721314","-0.510875","-0.4884297","-0.5268161"
14:12:48:162","-0.5884514","1.123715","0.4092029","-0.03780487","-0.2744804","0.01899861","-0.9606614","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","-0.06902987","1.004789","0.2261423","-0.4781328","0.5154707","0.4844273","-0.5205858","-0.4019427","0.9901478","0.3946378","-0.4721308","-0.5108743","-0.4884301","-0.5268168"
14:12:48:189","-0.5884503","1.123713","0.4092026","-0.03779839","-0.2744777","0.01898384","-0.9606627","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","-0.06902707","1.00479","0.2261197","-0.4781228","0.5154602","0.4844372","-0.5205963","-0.4019395","0.9901485","0.3946191","-0.4721408","-0.5108851","-0.4884208","-0.5268064"
14:12:48:225","-0.588451","1.123713","0.4092036","-0.03778874","-0.2744798","0.01899648","-0.9606622","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","-0.06902105","1.004785","0.2261169","-0.4781209","0.5154581","0.484439","-0.5205982","-0.4019329","0.9901443","0.3946179","-0.4721428","-0.5108871","-0.4884188","-0.5268044"
14:12:48:248","-0.5884529","1.123719","0.4092016","-0.0378246","-0.2744717","0.01903045","-0.9606625","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","-0.06902254","1.004785","0.2261327","-0.4781262","0.5154637","0.4844339","-0.5205926","-0.4019375","0.9901438","0.3946269","-0.4721376","-0.5108815","-0.4884238","-0.5268099"
14:12:48:269","-0.5884519","1.123715","0.4092032","-0.03779603","-0.2744758","0.01901557","-0.9606627","0.5796096","1.080017","-0.2876572","0","-0.003360649","0","0.9999944","0.4680122","1.080017","-0.2884073","0","-0.003360649","0","0.9999944","-0.06903607","1.0048","0.2261087","-0.4781196","0.5154567","0.4844404","-0.5205996","-0.4019489","0.9901588","0.3946087","-0.4721439","-0.5108888","-0.4884174","-0.5268028"
