"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
15:21:37:499",""
15:21:37:532","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
15:21:38:085","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876251","-0.399703","-0.5120974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4013234","-0.5155103","0.4900758","-0.4930298","0.5098298","0.506775"
15:21:38:122","-0.5655344","0.937883","0.2738141","-0.08721676","0.8625072","0.01528855","-0.4982378","-0.2792455","1.013836","0.3876914","-0.3535689","0.5700092","-0.5488852","-0.4988021","-0.6800122","1.076867","0.4427809","0.6323407","-0.02419436","-0.09677733","0.7682409","-0.4257122","-0.399703","0.2922254","0.684478","-0.1902143","0.1775072","0.6810284","0.4718812","-0.4013234","-1.239309","0.1980483","0.6849942","-0.6788797","0.1751634"
15:21:38:149","-0.5655347","0.9378806","0.2738095","-0.08722302","0.8624973","0.01532779","-0.4982526","-0.2792455","1.013836","0.3876914","-0.3535689","0.5700092","-0.5488852","-0.4988021","-0.6800122","1.076867","0.4427809","0.6323407","-0.02419436","-0.09677733","0.7682409","-0.9046675","0.6950613","1.111573","0.6844814","-0.190201","0.1774939","0.6810321","-0.007133871","0.6934409","-0.4199957","0.198035","0.6849977","-0.6788836","0.17515"
15:21:38:193","-0.5655364","0.9378767","0.2738094","-0.08718742","0.8624975","0.01533424","-0.4982583","-0.2792455","1.013836","0.3876914","-0.3535689","0.5700092","-0.5488852","-0.4988021","-0.6800122","1.076867","0.4427809","0.6323407","-0.02419436","-0.09677733","0.7682409","-0.9046581","0.6950549","1.111563","0.6844828","-0.1901959","0.1774887","0.6810336","-0.00714758","0.6934345","-0.42002","0.1980298","0.684999","-0.6788851","0.1751449"
15:21:38:276","-0.5655369","0.937876","0.2738106","-0.08718151","0.8625018","0.01533375","-0.4982518","-0.2792455","1.013836","0.3876914","-0.3535689","0.5700092","-0.5488852","-0.4988021","-0.6800122","1.076867","0.4427809","0.6323407","-0.02419436","-0.09677733","0.7682409","-0.357707","0.8165506","0.3984592","-0.9813668","0.1205811","-0.1342394","-0.06602828","-0.6629666","0.8318309","0.4923998","-0.7338405","-0.02744282","-0.6588264","-0.1633188"
15:21:38:354","-0.5655368","0.9378762","0.2738109","-0.08718892","0.8625048","0.01533908","-0.4982451","-0.2792455","1.013836","0.3876914","-0.3535689","0.5700092","-0.5488852","-0.4988021","-0.6800122","1.076867","0.4427809","0.6323407","-0.02419436","-0.09677733","0.7682409","-0.3576994","0.8165584","0.3984604","-0.9813666","0.1205812","-0.1342397","-0.0660283","-0.6629601","0.8318378","0.4924013","-0.7338402","-0.02744281","-0.6588265","-0.1633187"
15:21:38:420","-0.565538","0.9378772","0.2738202","-0.08716021","0.8625304","0.01528861","-0.4982075","-0.2792455","1.013836","0.3876914","-0.3535689","0.5700092","-0.5488852","-0.4988021","-0.6800122","1.076867","0.4427809","0.6323407","-0.02419436","-0.09677733","0.7682409","-0.3577017","0.8165601","0.3984662","-0.9813614","0.1205837","-0.1342776","-0.06602367","-0.6629708","0.83184","0.4923847","-0.7338147","-0.02743647","-0.658855","-0.1633199"
15:21:38:442","-0.5655361","0.9378808","0.2738185","-0.08719657","0.8625246","0.0152884","-0.4982112","-0.2792455","1.013836","0.3876914","-0.3535689","0.5700092","-0.5488852","-0.4988021","-0.6800122","1.076867","0.4427809","0.6323407","-0.02419436","-0.09677733","0.7682409","-0.3577","0.8165631","0.3984859","-0.9813682","0.1205804","-0.1342285","-0.06602968","-0.6629568","0.8318417","0.4924358","-0.7338479","-0.02744461","-0.6588184","-0.1633185"
15:21:38:463","-0.5655369","0.9378779","0.2738156","-0.08719584","0.8625208","0.01532426","-0.4982167","-0.2792455","1.013836","0.3876914","-0.3535689","0.5700092","-0.5488852","-0.4988021","-0.6800122","1.076867","0.4427809","0.6323407","-0.02419436","-0.09677733","0.7682409","-0.3576847","0.816568","0.3984463","-0.9813689","0.1205801","-0.1342236","-0.0660305","-0.6629512","0.8318578","0.4924104","-0.7338509","-0.02744544","-0.6588144","-0.1633184"
15:21:38:486","-0.5655363","0.9378784","0.2738132","-0.08720881","0.8625141","0.01533543","-0.4982258","-0.2792455","1.013836","0.3876914","-0.3535689","0.5700092","-0.5488852","-0.4988021","-0.6800122","1.076867","0.4427809","0.6323407","-0.02419436","-0.09677733","0.7682409","-0.3576994","0.8165522","0.3984408","-0.9813691","0.1205799","-0.1342213","-0.06603056","-0.6629625","0.8318415","0.4924037","-0.7338525","-0.02744574","-0.6588131","-0.1633183"
