"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
15:13:50:172",""
15:13:50:212","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
15:13:50:797","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876251","-0.399703","-0.5120974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4013234","-0.5155103","0.4900758","-0.4930298","0.5098298","0.506775"
15:13:50:837","-0.6140783","0.9284618","0.3353049","-0.04778365","0.9554099","0.01683193","-0.2909044","0.5561604","0.9933885","0.4366414","-0.5501478","0.3196922","-0.3627452","-0.6808453","0.3778465","1.000562","0.4356823","0.4932207","0.3273132","-0.407105","0.695604","-0.7229389","-0.399703","0.02856946","0.6274177","-0.3377513","0.326138","0.6212127","0.7527004","-0.4013234","-0.9582233","0.344906","0.6284451","-0.6173659","0.3239691"
15:13:50:861","-0.6140772","0.9284631","0.3353045","-0.04778646","0.9554068","0.01682227","-0.2909147","0.5561604","0.9933885","0.4366414","-0.5501478","0.3196922","-0.3627452","-0.6808453","0.3778241","1.000551","0.4357144","0.4932581","0.3274416","-0.4070137","0.6955706","-1.281812","0.679077","0.9425089","0.627421","-0.337745","0.3261316","0.6212162","0.1938069","0.6774566","-0.04431427","0.3448997","0.6284485","-0.6173694","0.3239627"
15:13:50:900","-0.6140807","0.9284644","0.3353104","-0.04775662","0.9554175","0.01678492","-0.2908867","0.5561604","0.9933885","0.4366414","-0.5501478","0.3196922","-0.3627452","-0.6808453","0.3778289","1.000554","0.4357037","0.4932123","0.3274284","-0.4070598","0.6955822","-1.281841","0.6790801","0.9424641","0.6274108","-0.3377644","0.3261513","0.6212056","0.1938404","0.6774597","-0.04426658","0.344919","0.6284384","-0.6173586","0.3239824"
15:13:50:945","-0.6140807","0.9284618","0.335308","-0.04773269","0.9554118","0.01679558","-0.2909086","0.5561604","0.9933885","0.4366414","-0.5501478","0.3196922","-0.3627452","-0.6808453","0.3778165","1.000547","0.4357313","0.4932565","0.3275221","-0.4070002","0.6955416","-0.2557431","0.601185","0.5848333","0.9534957","-0.07649609","-0.2717545","0.1055667","0.1235795","0.6815121","0.489117","0.95662","0.09555702","0.2225848","0.1618748"
15:13:50:996","-0.6140788","0.9284595","0.3353035","-0.04776827","0.9554077","0.01684386","-0.2909133","0.5561604","0.9933885","0.4366414","-0.5501478","0.3196922","-0.3627452","-0.6808453","0.3777826","1.000528","0.4357945","0.4933763","0.3277276","-0.4068258","0.6954619","-0.2557455","0.601177","0.5848335","0.9535","-0.07649786","-0.2717393","0.1055654","0.1235994","0.6814878","0.4890896","0.9566354","0.09558961","0.2225898","0.161757"
15:13:51:047","-0.6140807","0.9284642","0.3353102","-0.04773529","0.9554143","0.01677266","-0.2909013","0.5561604","0.9933885","0.4366414","-0.5501478","0.3196922","-0.3627452","-0.6808453","0.3777945","1.000538","0.4357353","0.4932091","0.3275994","-0.4069501","0.6955681","-0.2557431","0.6011724","0.5848315","0.9535065","-0.07650032","-0.2717166","0.1055636","0.1236631","0.6814517","0.4890401","0.9566658","0.09567704","0.2226294","0.1614704"
15:13:51:069","-0.6140811","0.9284675","0.3353137","-0.0477718","0.9554237","0.01676342","-0.290865","0.5561604","0.9933885","0.4366414","-0.5501478","0.3196922","-0.3627452","-0.6808453","0.3777908","1.000539","0.435704","0.4930773","0.3275769","-0.4070088","0.6956378","-0.2557614","0.6011879","0.5848784","0.9535124","-0.07650259","-0.2716956","0.1055618","0.1236355","0.68151","0.4891762","0.9566248","0.09568318","0.2226118","0.1617337"
15:13:51:091","-0.614081","0.9284639","0.3353104","-0.0477711","0.9554203","0.01679895","-0.2908742","0.5561604","0.9933885","0.4366414","-0.5501478","0.3196922","-0.3627452","-0.6808453","0.3778287","1.000562","0.4355983","0.4928112","0.327306","-0.4072744","0.6957985","-0.2557517","0.6011885","0.5848389","0.9534988","-0.07649731","-0.2717429","0.1055657","0.1236712","0.6815398","0.4891402","0.9566188","0.09575134","0.2225104","0.161868"
15:13:51:112","-0.6140822","0.928468","0.3353156","-0.04777312","0.9554282","0.01675796","-0.2908501","0.5561604","0.9933885","0.4366414","-0.5501478","0.3196922","-0.3627452","-0.6808453","0.3778655","1.000582","0.4355223","0.4926391","0.3270857","-0.4074901","0.6958976","-0.2557617","0.6011781","0.5848478","0.9535094","-0.07650146","-0.2717061","0.1055628","0.1236051","0.6815929","0.4892854","0.9565507","0.09568891","0.2224782","0.1623504"
15:13:51:131","-0.6140804","0.9284766","0.3353208","-0.0477621","0.9554265","0.0166647","-0.2908632","0.5561604","0.9933885","0.4366414","-0.5501478","0.3196922","-0.3627452","-0.6808453","0.3778535","1.000576","0.4355413","0.4926663","0.3271566","-0.4074373","0.6958759","-0.2557592","0.6011903","0.5848452","0.9534997","-0.07649767","-0.2717404","0.1055655","0.1235493","0.6816491","0.4893449","0.9565189","0.0956115","0.2223949","0.1626986"
