"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
17:49:43:965",""
17:49:44:027","0","-0.16","-0.5","0","0","0","1","0.0558","-0.1757","-0.6087","0","0","0","1","-0.0558","-0.1757","-0.6087","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
17:49:44:557","0","-0.16","-0.5","0","0","0","1","0.0558","-0.1757","-0.6087","0","0","0","1","-0.0558","-0.1757","-0.6087","0","0","0","1","0.8876251","-0.409703","-0.5720974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4113234","-0.5755103","0.4900758","-0.4930298","0.5098298","0.506775"
17:49:44:598","-0.6085505","0.9073889","0.3747581","-0.001903304","0.9714157","0.03600126","-0.2346313","-0.5064598","1.031468","0.3605924","-0.5920206","0.221285","-0.2883537","-0.7193029","-0.6199534","1.022669","0.286329","-0.6613995","0.1132416","-0.04125012","-0.7402874","-0.7780331","-0.409703","-0.1190672","0.6073412","-0.373386","0.3621541","0.6004699","0.8024188","-0.4113234","-0.9274249","0.3803042","0.6084934","-0.5962126","0.3600487"
17:49:44:629","-0.60855","0.9073921","0.3747605","-0.001925386","0.9714202","0.03598136","-0.2346157","-0.5064598","1.031468","0.3605924","-0.5920206","0.221285","-0.2883537","-0.7193029","-0.6199534","1.022669","0.286329","-0.6613995","0.1132416","-0.04125012","-0.7402874","-1.351834","0.6524996","0.8974415","0.6073354","-0.3733955","0.3621637","0.600464","0.2286439","0.6508791","0.08913383","0.3803137","0.6084877","-0.5962065","0.3600584"
17:49:44:661","-0.6085513","0.9073923","0.3747621","-0.001918643","0.9714232","0.03597559","-0.2346039","-0.5064598","1.031468","0.3605924","-0.5920206","0.221285","-0.2883537","-0.7193029","-0.6199534","1.022669","0.286329","-0.6613995","0.1132416","-0.04125012","-0.7402874","-1.351839","0.6525065","0.8974297","0.6073309","-0.373403","0.3621713","0.6004593","0.2286586","0.6508861","0.08916157","0.3803212","0.6084832","-0.5962018","0.360066"
17:49:44:681","-0.6085503","0.9073943","0.3747628","-0.00191623","0.9714216","0.03595457","-0.2346138","-0.5064598","1.031468","0.3605924","-0.5920206","0.221285","-0.2883537","-0.7193029","-0.6199534","1.022669","0.286329","-0.6613995","0.1132416","-0.04125012","-0.7402874","-0.5311626","0.8299974","0.4365388","-0.9076487","0.05994748","0.39769","-0.1200959","-0.6535469","0.8221164","0.3478957","-0.6217558","-0.01760516","-0.7747687","-0.1133276"
17:49:44:706","-0.6085501","0.907392","0.3747606","-0.001937007","0.9714221","0.03598892","-0.2346062","-0.5064598","1.031468","0.3605924","-0.5920206","0.221285","-0.2883537","-0.7193029","-0.6199534","1.022669","0.286329","-0.6613995","0.1132416","-0.04125012","-0.7402874","-0.5311558","0.829999","0.4365436","-0.9076548","0.05994938","0.3976756","-0.120095","-0.6535357","0.8221205","0.3478945","-0.6217436","-0.01760342","-0.7747785","-0.1133279"
17:49:44:727","-0.6085507","0.9073908","0.37476","-0.001933666","0.9714224","0.03599975","-0.2346035","-0.5064598","1.031468","0.3605924","-0.5920206","0.221285","-0.2883537","-0.7193029","-0.6199534","1.022669","0.286329","-0.6613995","0.1132416","-0.04125012","-0.7402874","-0.5311556","0.8299899","0.4365242","-0.9076536","0.05994898","0.3976788","-0.1200951","-0.6535372","0.8221096","0.3478773","-0.6217465","-0.01760386","-0.7747765","-0.1133279"
17:49:44:744","-0.6085514","0.9073935","0.3747631","-0.001940834","0.9714276","0.03597705","-0.2345855","-0.5064598","1.031468","0.3605924","-0.5920206","0.221285","-0.2883537","-0.7193029","-0.6199534","1.022669","0.286329","-0.6613995","0.1132416","-0.04125012","-0.7402874","-0.5311585","0.8299947","0.4365334","-0.90766","0.05995088","0.3976641","-0.1200941","-0.6535382","0.8221128","0.3478837","-0.6217338","-0.01760202","-0.7747864","-0.113328"
