"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
14:21:20:592","-0.03980941","1.375062","0.357909","-0.01934","0.1276281","-0.0689728","-0.9892319","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3226223","0.9464872","0.4813744","-0.9190292","0.08258825","0.3680267","-0.1145483","-0.6928495","0.9401734","0.3651567","0.6199957","0.002097566","0.774164","0.1275607"
14:21:20:617","-0.04046594","1.374788","0.3579191","-0.02086279","0.1269029","-0.07496606","-0.9888582","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3216936","0.9466608","0.4814311","-0.9188086","0.08251972","0.3685766","-0.1145977","-0.6921871","0.940339","0.3656659","0.6204591","0.002173984","0.7737926","0.1275593"
14:21:20:637","-0.04126082","1.374477","0.3579965","-0.02509309","0.1253008","-0.08114742","-0.9884762","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3205225","0.946828","0.4817304","-0.9184028","0.08239357","0.3695869","-0.1146884","-0.6915625","0.9404544","0.3669703","0.6213095","0.002314341","0.7731096","0.1275568"
14:21:20:657","-0.04187008","1.373909","0.3583457","-0.03066752","0.1233988","-0.0868099","-0.988077","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.319702","0.9473631","0.4808832","-0.9182435","0.08234427","0.3699822","-0.1147237","-0.6914452","0.9409118","0.3668932","0.6216423","0.002369119","0.7728422","0.127556"
14:21:20:677","-0.04255552","1.372675","0.3591249","-0.03561923","0.1226507","-0.09035557","-0.9876862","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3193343","0.9475667","0.4792553","-0.9187058","0.08248767","0.3688335","-0.1146207","-0.6914878","0.9409174","0.3650561","0.6206752","0.002209629","0.7736191","0.1275587"
14:21:20:699","-0.04308043","1.371505","0.3599356","-0.04465149","0.1213552","-0.09745801","-0.9868035","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3186473","0.9469219","0.4799463","-0.9183028","0.08236266","0.3698353","-0.1147107","-0.6913786","0.9400796","0.3670551","0.6215186","0.002348739","0.7729416","0.1275563"
14:21:20:727","-0.04403909","1.369483","0.3611885","-0.05928927","0.1201124","-0.1127156","-0.9845573","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3169759","0.9479204","0.4793035","-0.917892","0.08223531","0.3708536","-0.1148019","-0.6906143","0.9411266","0.3678141","0.6223755","0.002490223","0.7722519","0.1275536"
14:21:20:760","-0.04570521","1.366601","0.3626939","-0.07491717","0.1185686","-0.131071","-0.9814017","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3136082","0.9490675","0.4783364","-0.9174801","0.08210786","0.3718717","-0.1148932","-0.6884203","0.9420389","0.3686801","0.623232","0.002631723","0.7715607","0.1275508"
14:21:20:780","-0.04672935","1.36479","0.3635105","-0.07894065","0.11684","-0.1379037","-0.9803568","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3113149","0.9494216","0.4757227","-0.9181346","0.08231056","0.3702527","-0.1147479","-0.6869371","0.9419279","0.3660884","0.62187","0.002406692","0.7726589","0.1275553"
14:21:20:800","-0.04749657","1.363182","0.3641704","-0.07868721","0.11598","-0.1415495","-0.9799595","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3113315","0.9478903","0.4749526","-0.9187381","0.0824978","0.3687524","-0.1146135","-0.6873027","0.939985","0.3650367","0.620607","0.002198434","0.773674","0.127559"
14:21:20:820","-0.0480637","1.362205","0.3645275","-0.07766055","0.1146827","-0.1437927","-0.9798675","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3112848","0.9468433","0.4756555","-0.918659","0.08247299","0.3689499","-0.1146313","-0.687625","0.9390677","0.3661378","0.6207731","0.002225866","0.7735406","0.1275584"
14:21:20:850","-0.04834666","1.361327","0.3648121","-0.07268824","0.1143984","-0.1458546","-0.9799775","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3121239","0.9467363","0.4745689","-0.9192221","0.08264836","0.3675446","-0.1145049","-0.68853","0.9393322","0.3639764","0.6195893","0.002030787","0.774489","0.1275616"
14:21:20:885","-0.0487064","1.361453","0.3645579","-0.06848658","0.1151574","-0.1442986","-0.9804215","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3124846","0.9457407","0.4749121","-0.9196947","0.08279575","0.3663601","-0.1143984","-0.6885888","0.9386109","0.3631765","0.6185912","0.001866515","0.7752863","0.1275641"
14:21:20:952","-0.03129338","1.478357","0.2866914","-0.0443403","0.1204852","-0.1382007","-0.9820478","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3157485","0.9460361","0.470183","-0.9223495","0.08363009","0.3596246","-0.1137898","-0.6898321","0.9393597","0.3522712","0.6129048","0.0009334423","0.7797893","0.1275744"
14:21:20:975","-0.02646258","1.542442","0.2367295","0.01649279","0.1364692","-0.1004583","-0.9853995","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.3042291","1.058567","0.3892119","-0.9276903","0.085344","0.345614","-0.1125102","-0.6721236","1.052081","0.2581874","0.6010246","-0.0009988397","0.7889828","0.1275741"
14:21:21:034","-0.02460347","1.586473","0.199863","0.07440422","0.1370725","-0.07020359","-0.9852648","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2887174","1.038629","0.410242","-0.9211869","0.0832635","0.3625919","-0.1140584","-0.6454535","1.007306","0.3014762","0.6154123","0.001344185","0.7778122","0.1275708"
14:21:21:076","-0.02270931","1.599478","0.1831362","0.0692579","0.1385253","-0.07078733","-0.985395","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2834283","1.042328","0.4105265","-0.9195401","0.08274762","0.3667482","-0.1144333","-0.6323395","1.002818","0.3079634","0.6189184","0.001920234","0.7750253","0.1275635"
14:21:21:097","-0.02098876","1.612522","0.1680809","0.07264248","0.1388149","-0.06589817","-0.9854496","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2718907","1.035859","0.4051589","-0.9192975","0.0826719","0.3673562","-0.114488","-0.6151728","0.9914548","0.3051329","0.6194307","0.002004579","0.7746159","0.1275622"
14:21:21:120","-0.02043335","1.612112","0.1665041","0.06967272","0.136827","-0.06562512","-0.9859602","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.265184","1.041569","0.4009219","-0.9183237","0.08236903","0.3697838","-0.114706","-0.6064718","0.9964452","0.3041552","0.6214752","0.002341554","0.7729766","0.1275564"
14:21:21:141","-0.01839805","1.625149","0.1505207","0.07357588","0.1366129","-0.0601985","-0.9860526","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2613264","1.035396","0.4034313","-0.919106","0.08261216","0.367835","-0.1145311","-0.6008371","0.9892467","0.3071505","0.6198343","0.002071017","0.774293","0.1275611"
