"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
12:50:03:661","-0.65","0","1.59","0","1","0","0","-0.7058","-0.0157","1.6987","0","1","0","0","-0.5942","-0.0157","1.6987","0","1","0","0","-0.8876261","1.385232","-0.4749571","0.5051601","-0.5041065","0.4948052","0.4958405","0.8875526","1.383611","-0.4715442","0.5098298","0.506775","-0.4900758","0.4930298"
12:50:03:711","-0.65","0","1.59","0","1","0","0","-0.7058","-0.0157","1.6987","0","1","0","0","-0.5942","-0.0157","1.6987","0","1","0","0","-1.537627","-0.249703","1.727988","0.5051601","-0.5041065","0.4948052","0.4958405","0.2375516","-0.2513235","1.731401","0.5098298","0.506775","-0.4900758","0.4930298"
12:50:04:240","-0.6519541","1.364589","0.9425526","-0.01983303","-0.9768608","-0.1847799","-0.1058586","-0.3512568","1.170584","0.7374398","-0.6293342","-0.2541526","0.166874","-0.7151909","-0.411422","1.160365","0.7699046","-0.6459937","-0.01770368","0.1202317","-0.7536067","-1.519731","-0.249703","1.523845","0.4446907","-0.5579539","0.5497901","0.4343601","0.2073938","-0.2513235","1.934103","0.5629738","0.4464997","-0.4279735","0.5482129"
12:50:04:268","-0.6521789","1.3646","0.9426646","-0.01988302","-0.9768876","-0.1845176","-0.1060584","-0.3512568","1.170584","0.7374398","-0.6293342","-0.2541526","0.166874","-0.7151909","-0.411422","1.160365","0.7699046","-0.6459937","-0.01770368","0.1202317","-0.7536067","-1.538698","1.095321","0.8213215","0.4445823","-0.5580395","0.5498777","0.43425","0.1882649","1.093701","1.232261","0.5630581","0.4463916","-0.4278625","0.5483009"
12:50:04:285","-0.6523495","1.364637","0.9428025","-0.02013023","-0.9769105","-0.1842171","-0.1063247","-0.3512568","1.170584","0.7374398","-0.6293342","-0.2541526","0.166874","-0.7151909","-0.411422","1.160365","0.7699046","-0.6459937","-0.01770368","0.1202317","-0.7536067","-1.538857","1.095349","0.8209816","0.4444167","-0.5581703","0.5500116","0.4340819","0.1878579","1.093728","1.232961","0.563187","0.4462264","-0.4276929","0.5484353"
12:50:04:303","-0.6529415","1.364849","0.9434122","-0.0211921","-0.9770293","-0.1828857","-0.1073191","-0.3512568","1.170584","0.7374398","-0.6293342","-0.2541526","0.166874","-0.7151909","-0.411422","1.160365","0.7699046","-0.6459937","-0.01770368","0.1202317","-0.7536067","-0.3765924","0.9602392","0.8321428","-0.4612398","0.008417565","0.8786497","-0.1231339","-0.4306276","0.9628465","0.846263","-0.7657936","-0.02402563","-0.6273955","-0.1391322"
12:50:04:320","-0.653557","1.365107","0.9441162","-0.02203035","-0.97732","-0.1809084","-0.1078542","-0.3512568","1.170584","0.7374398","-0.6293342","-0.2541526","0.166874","-0.7151909","-0.411422","1.160365","0.7699046","-0.6459937","-0.01770368","0.1202317","-0.7536067","-0.3777049","0.960495","0.8325553","-0.460721","0.008344684","0.8789221","-0.123139","-0.431569","0.9631079","0.8467194","-0.766164","-0.02410772","-0.6269432","-0.139118"
12:50:04:339","-0.6543755","1.365473","0.9451277","-0.02276757","-0.9778244","-0.1781182","-0.1077731","-0.3512568","1.170584","0.7374398","-0.6293342","-0.2541526","0.166874","-0.7151909","-0.411422","1.160365","0.7699046","-0.6459937","-0.01770368","0.1202317","-0.7536067","-0.3789538","0.9604932","0.8330237","-0.460065","0.00825309","0.8792653","-0.1231451","-0.4317317","0.9631816","0.8466738","-0.7666315","-0.02421166","-0.6263714","-0.1390999"
12:50:04:355","-0.6549956","1.365922","0.9459761","-0.02324313","-0.9783412","-0.1747969","-0.1084173","-0.3512568","1.170584","0.7374398","-0.6293342","-0.2541526","0.166874","-0.7151909","-0.411422","1.160365","0.7699046","-0.6459937","-0.01770368","0.1202317","-0.7536067","-0.3800561","0.9605627","0.8347625","-0.4606518","0.008335078","0.8789582","-0.1231396","-0.4316535","0.9633336","0.847572","-0.7662134","-0.02411878","-0.6268831","-0.1391161"
12:50:04:380","-0.6560605","1.366922","0.9474794","-0.02467442","-0.9790859","-0.1695558","-0.1096939","-0.3512568","1.170584","0.7374398","-0.6293342","-0.2541526","0.166874","-0.7151909","-0.411422","1.160365","0.7699046","-0.6459937","-0.01770368","0.1202317","-0.7536067","-0.3810584","0.9605983","0.8360488","-0.4612272","0.008415641","0.8786564","-0.123134","-0.4312651","0.9634503","0.8478662","-0.7658027","-0.02402766","-0.6273844","-0.139132"
