"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
18:24:20:263","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
18:24:20:325","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876251","-0.399703","-0.5120974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4013234","-0.5155103","0.4900758","-0.4930298","0.5098298","0.506775"
18:24:22:176","-0.5844299","0.9280283","0.3902391","-0.0132178","0.4437592","0.01292133","-0.8959554","-0.2727106","1.029318","0.503115","-0.433612","0.4814729","-0.4663982","-0.6021937","-0.5490502","1.041213","0.6150022","-0.6646729","0.06721636","0.08904663","-0.7387574","0.5576921","-0.399703","0.2039489","-0.6676317","-0.2205152","0.2329953","-0.671829","-0.515087","-0.4013234","-1.210412","0.2128089","-0.6667578","0.6743984","0.2352305"
18:24:22:248","-0.5844266","0.9280268","0.3902425","-0.01320677","0.4437968","0.01292934","-0.8959368","-0.2727106","1.029318","0.503115","-0.433612","0.4814729","-0.4663982","-0.6021937","-0.5490502","1.041213","0.6150022","-0.6646729","0.06721636","0.08904663","-0.7387574","0.03536105","0.6793915","1.0612","-0.6676415","-0.2204871","0.2329674","-0.6718383","-1.0373","0.6777711","-0.3532499","0.2127808","-0.6667676","0.6744072","0.2352026"
18:24:22:313","-0.5844299","0.9280256","0.390241","-0.01319958","0.4437791","0.01294771","-0.8959455","-0.2727106","1.029318","0.503115","-0.433612","0.4814729","-0.4663982","-0.6021937","-0.5490502","1.041213","0.6150022","-0.6646729","0.06721636","0.08904663","-0.7387574","0.03539294","0.6793877","1.061188","-0.6676368","-0.2205005","0.2329807","-0.6718339","-1.037324","0.6777673","-0.3532192","0.2127942","-0.6667629","0.674403","0.2352159"
18:24:22:334","-0.5844296","0.9280264","0.3902406","-0.01320762","0.4437811","0.01295071","-0.8959443","-0.2727106","1.029318","0.503115","-0.433612","0.4814729","-0.4663982","-0.6021937","-0.5490502","1.041213","0.6150022","-0.6646729","0.06721636","0.08904663","-0.7387574","-0.3507878","0.8352934","0.5412021","0.9870351","-0.1278489","-0.04240865","0.08728303","-0.5992264","0.7988105","0.6262758","0.7119444","-0.02233901","0.685487","0.1508109"
18:24:22:364","-0.5844302","0.9280243","0.3902416","-0.01318847","0.4437761","0.01294221","-0.8959472","-0.2727106","1.029318","0.503115","-0.433612","0.4814729","-0.4663982","-0.6021937","-0.5490502","1.041213","0.6150022","-0.6646729","0.06721636","0.08904663","-0.7387574","-0.3507735","0.8352989","0.5412016","0.9870347","-0.1278482","-0.04241729","0.08728404","-0.5992125","0.7988118","0.6262744","0.7119504","-0.02233777","0.685481","0.150811"
18:24:22:395","-0.5844298","0.928021","0.3902441","-0.01316328","0.4437952","0.01295696","-0.8959379","-0.2727106","1.029318","0.503115","-0.433612","0.4814729","-0.4663982","-0.6021937","-0.5490502","1.041213","0.6150022","-0.6646729","0.06721636","0.08904663","-0.7387574","-0.3507849","0.8352925","0.5412187","0.9870356","-0.1278505","-0.04239056","0.08728051","-0.5992287","0.7988054","0.6262779","0.7119319","-0.0223419","0.6855","0.1508103"
18:24:22:427","-0.5844288","0.9280208","0.390245","-0.01316505","0.4438128","0.01297214","-0.8959289","-0.2727106","1.029318","0.503115","-0.433612","0.4814729","-0.4663982","-0.6021937","-0.5490502","1.041213","0.6150022","-0.6646729","0.06721636","0.08904663","-0.7387574","-0.3507868","0.8352889","0.541222","0.9870357","-0.1278504","-0.04239157","0.08728083","-0.5992296","0.7988013","0.626282","0.7119326","-0.02234163","0.6854993","0.1508104"
18:24:22:451","-0.5844263","0.9280213","0.3902464","-0.01317027","0.443835","0.0129751","-0.8959178","-0.2727106","1.029318","0.503115","-0.433612","0.4814729","-0.4663982","-0.6021937","-0.5490502","1.041213","0.6150022","-0.6646729","0.06721636","0.08904663","-0.7387574","-0.3507853","0.8352963","0.5412157","0.9870359","-0.1278509","-0.0423865","0.08728005","-0.5992284","0.7988074","0.6262738","0.711929","-0.02234256","0.6855031","0.1508103"
