"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
18:26:06:137","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
18:26:06:204","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876251","-0.399703","-0.5120974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4013234","-0.5155103","0.4900758","-0.4930298","0.5098298","0.506775"
18:26:08:900","0.1580864","1.231176","0.0884791","0.06970064","0.2189686","-0.008686397","-0.9732004","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","0.8116732","-0.399703","-0.1269264","-0.5942333","-0.3721376","0.3832828","-0.6012444","-0.7885414","-0.4013234","-0.895421","0.3652503","-0.5928589","0.6055518","0.3852502"
18:26:09:002","0.1575715","1.230762","0.08913368","0.07014979","0.2184124","-0.008849945","-0.9732917","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","1.00257","0.9722067","0.4272572","-0.5940266","-0.3724617","0.383603","-0.6010437","-0.5984722","0.9705863","-0.3395115","0.3655767","-0.5926511","0.6053548","0.3855698"
18:26:09:068","0.1570275","1.230631","0.08980942","0.07109159","0.2161667","-0.008386132","-0.9737287","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","1.00364","0.9717439","0.4242773","-0.5931452","-0.3738393","0.3849645","-0.6001878","-0.600903","0.9701235","-0.3351389","0.3669643","-0.5917651","0.6045147","0.3869281"
18:26:09:101","0.1568479","1.230743","0.09015787","0.07234076","0.2149229","-0.008525546","-0.9739108","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1057808","0.8110737","0.3927346","-0.9901313","0.1076244","0.04187678","-0.07939654","-0.3223746","0.8097005","0.3679166","0.6922749","-0.01867633","0.7086833","0.1348142"
18:26:09:136","0.1567105","1.230817","0.09022886","0.07295971","0.2144991","-0.008821336","-0.9739555","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1065172","0.8112533","0.3925239","-0.9901653","0.1076896","0.04106313","-0.07930803","-0.3234338","0.809881","0.3681246","0.6916925","-0.01878713","0.709252","0.1347989"
18:26:09:166","0.1566782","1.230988","0.09065968","0.07426944","0.2137763","-0.009193289","-0.9740119","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1065409","0.811311","0.3926432","-0.9901544","0.1076688","0.0413243","-0.07933651","-0.3235734","0.8099452","0.3686874","0.6918797","-0.01875158","0.7090695","0.1348038"
18:26:09:192","0.1566139","1.231068","0.0909068","0.07457218","0.2130875","-0.009247662","-0.9741392","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1065502","0.8113368","0.393223","-0.9901527","0.1076654","0.0413661","-0.07934102","-0.3238315","0.8099892","0.3696683","0.6919093","-0.01874585","0.7090405","0.1348044"
18:26:09:225","0.1566245","1.231076","0.09118032","0.07441842","0.2127663","-0.009060662","-0.974223","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1070106","0.8113773","0.3928344","-0.9901665","0.107692","0.04103248","-0.07930464","-0.3245398","0.8100543","0.3696559","0.6916704","-0.01879129","0.7092734","0.1347982"
18:26:09:251","0.1566971","1.231022","0.09152663","0.07407592","0.2125174","-0.008746719","-0.9743062","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1071172","0.8113756","0.3928339","-0.990169","0.1076966","0.04097718","-0.0792988","-0.3247656","0.8100662","0.3698747","0.6916307","-0.01879871","0.7093118","0.1347971"
18:26:09:277","0.1567308","1.230948","0.09178805","0.07401163","0.2123971","-0.008498367","-0.9743395","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1072354","0.8113412","0.3928238","-0.9901752","0.1077086","0.04082608","-0.07928231","-0.3249876","0.8100415","0.3699946","0.6915225","-0.0188193","0.7094175","0.1347942"
18:26:09:304","0.1568204","1.230823","0.09219468","0.07390164","0.2122467","-0.008209109","-0.9743831","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1072892","0.8112868","0.3929403","-0.9901738","0.1077058","0.04086193","-0.07928623","-0.3250981","0.8099899","0.3702482","0.6915483","-0.01881452","0.7093927","0.134795"
18:26:09:342","0.1569197","1.230577","0.09278041","0.07307824","0.2116079","-0.007669585","-0.9745886","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1069539","0.8112156","0.393488","-0.9901506","0.1076614","0.04141515","-0.07934627","-0.3248549","0.809918","0.3711804","0.6919446","-0.0187392","0.709006","0.1348055"
18:26:09:372","0.1569488","1.230393","0.09306347","0.07277317","0.2117166","-0.007648387","-0.9745879","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1075438","0.8111215","0.3929531","-0.9901848","0.1077276","0.04059029","-0.07925658","-0.3257115","0.8098353","0.3707394","0.6913536","-0.01885146","0.7095822","0.1347899"
18:26:09:405","0.1569745","1.230171","0.09341609","0.07221241","0.2116075","-0.007567519","-0.974654","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1074087","0.8110925","0.3932076","-0.990175","0.1077083","0.04082991","-0.07928254","-0.3255368","0.8097899","0.3711121","0.6915253","-0.01881883","0.7094148","0.1347943"
18:26:09:439","0.1570564","1.229929","0.09377295","0.07126212","0.2116318","-0.007589898","-0.9747185","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.107504","0.8110281","0.3931743","-0.99018","0.1077181","0.04070733","-0.07926944","-0.3256949","0.8097188","0.3711457","0.6914372","-0.01883552","0.7095006","0.1347919"
18:26:09:467","0.1570567","1.229759","0.09396768","0.07089096","0.2115389","-0.007539964","-0.9747661","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.107345","0.8110026","0.3932265","-0.9901763","0.1077107","0.04080065","-0.07927953","-0.325553","0.8096813","0.3712918","0.6915043","-0.01882282","0.7094353","0.1347938"
18:26:09:501","0.1570551","1.229616","0.09411705","0.07058587","0.2114831","-0.00754791","-0.9748003","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1074071","0.8109514","0.3931678","-0.9901781","0.1077143","0.04075576","-0.07927461","-0.3256816","0.8096247","0.3712966","0.6914723","-0.01882884","0.7094668","0.1347929"
18:26:09:537","0.1570608","1.229457","0.09426045","0.07027396","0.2115489","-0.007688271","-0.9748074","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1074879","0.8109262","0.3930942","-0.9901835","0.1077248","0.04062384","-0.07926024","-0.3257874","0.8095911","0.3712199","0.6913776","-0.01884702","0.7095588","0.1347905"
18:26:09:567","0.1570506","1.229352","0.09435952","0.07012421","0.2114655","-0.007886203","-0.9748347","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.107353","0.8108797","0.3932267","-0.9901777","0.1077135","0.04076381","-0.0792755","-0.3256358","0.8095338","0.3713965","0.6914779","-0.01882795","0.709461","0.1347932"
18:26:09:599","0.1570413","1.229265","0.0944612","0.07019721","0.2112644","-0.008321347","-0.9748695","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1072668","0.8108706","0.3932735","-0.9901738","0.1077061","0.04085779","-0.07928579","-0.325597","0.8095188","0.3715415","0.6915452","-0.01881495","0.7093953","0.1347948"
18:26:09:630","0.1569883","1.229172","0.09456074","0.07016762","0.2109396","-0.008446318","-0.9749408","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1070875","0.8108395","0.3934142","-0.9901676","0.1076942","0.04100841","-0.07930221","-0.325503","0.8094866","0.3718532","0.6916531","-0.01879458","0.7092901","0.1347977"
18:26:09:662","0.1568931","1.229079","0.09465158","0.07008331","0.2108858","-0.008408926","-0.9749589","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1073132","0.8107995","0.3931762","-0.9901783","0.1077151","0.04074518","-0.07927339","-0.3258625","0.8094504","0.3716973","0.6914645","-0.01883039","0.709474","0.1347927"
18:26:09:691","0.1568345","1.228974","0.09476012","0.06979809","0.2108801","-0.008496461","-0.9749798","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1074482","0.8107736","0.3931759","-0.9901803","0.1077189","0.0406988","-0.07926832","-0.3260136","0.8094184","0.3717242","0.6914313","-0.01883659","0.7095064","0.1347918"
18:26:09:722","0.1567571","1.228864","0.09487718","0.06950442","0.2108162","-0.008522665","-0.9750144","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1074202","0.8107638","0.3932442","-0.9901776","0.1077137","0.0407622","-0.07927528","-0.325981","0.809401","0.3718406","0.6914766","-0.01882818","0.7094622","0.1347931"
18:26:09:760","0.1566529","1.228756","0.09504634","0.06947599","0.2106373","-0.008722883","-0.9750533","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1074133","0.8107339","0.3933037","-0.990174","0.1077064","0.04085521","-0.07928535","-0.3260089","0.8093674","0.3719889","0.6915433","-0.01881535","0.7093972","0.1347948"
18:26:09:790","0.1565486","1.228664","0.0951733","0.0694185","0.2105465","-0.008915979","-0.9750752","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1075111","0.8106838","0.3933731","-0.9901774","0.1077133","0.04076716","-0.07927588","-0.3261669","0.8093153","0.3721152","0.6914804","-0.01882734","0.7094586","0.1347931"
