"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
17:09:06:489","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
17:09:06:548","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876251","-0.399703","-0.5120974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4013234","-0.5155103","0.4900758","-0.4930298","0.5098298","0.506775"
17:09:07:136","-0.6371514","0.9245758","0.3571286","-0.001291579","0.7345252","0.01676172","-0.6783732","-0.3584795","0.9975585","0.562798","-0.6177878","0.09294442","-0.1699964","-0.7621028","-0.5156624","0.9961463","0.5199117","0.6555294","-0.1526331","0.03852313","0.7385799","-0.0452286","-0.399703","0.3997722","-0.7068182","0.03381932","-0.02066314","-0.7062842","0.09855214","-0.4013234","-1.369577","-0.04193503","-0.7067996","0.7059336","-0.01826325"
17:09:07:177","-0.6371574","0.9245663","0.3571277","-0.001173054","0.7344763","0.01671969","-0.6784274","-0.3584795","0.9975585","0.562798","-0.6177878","0.09294442","-0.1699964","-0.7621028","-0.5156624","0.9961463","0.5199117","0.6555294","-0.1526331","0.03852313","0.7385799","-0.6052329","0.6731163","1.279803","-0.7068197","0.0337683","-0.02061209","-0.7062867","-0.4617077","0.6714959","-0.4895673","-0.04188401","-0.706801","0.7059367","-0.01821217"
17:09:07:197","-0.6371536","0.9245715","0.3571305","-0.0012292","0.7345095","0.01672784","-0.6783912","-0.3584795","0.9975585","0.562798","-0.6177878","0.09294442","-0.1699964","-0.7621028","-0.5156624","0.9961463","0.5199117","0.6555294","-0.1526331","0.03852313","0.7385799","-0.6053407","0.6730987","1.279815","-0.7068186","0.0338029","-0.02064669","-0.706285","-0.4616423","0.6714783","-0.4895409","-0.04191858","-0.7068001","0.7059345","-0.01824677"
17:09:07:217","-0.6371537","0.9245725","0.3571277","-0.001251682","0.7345065","0.01675119","-0.6783937","-0.3584795","0.9975585","0.562798","-0.6177878","0.09294442","-0.1699964","-0.7621028","-0.5156624","0.9961463","0.5199117","0.6555294","-0.1526331","0.03852313","0.7385799","-0.3586375","0.8027041","0.6478055","0.818323","-0.05877119","-0.5546986","0.138576","-0.5640923","0.7981722","0.5797435","-0.6000817","0.002388842","-0.7881625","-0.1367341"
17:09:07:247","-0.6371605","0.9245613","0.3571277","-0.001178225","0.7345034","0.01681004","-0.6783957","-0.3584795","0.9975585","0.562798","-0.6177878","0.09294442","-0.1699964","-0.7621028","-0.5156624","0.9961463","0.5199117","0.6555294","-0.1526331","0.03852313","0.7385799","-0.3586499","0.8026946","0.6477944","0.8183228","-0.05877112","-0.5546987","0.138576","-0.5641048","0.7981625","0.5797326","-0.6000819","0.002388664","-0.7881623","-0.1367341"
17:09:07:265","-0.6371619","0.9245596","0.3571258","-0.001183961","0.7345051","0.01684832","-0.678393","-0.3584795","0.9975585","0.562798","-0.6177878","0.09294442","-0.1699964","-0.7621028","-0.5156624","0.9961463","0.5199117","0.6555294","-0.1526331","0.03852313","0.7385799","-0.3586851","0.8026681","0.64781","0.8183265","-0.05877204","-0.5546929","0.1385756","-0.564139","0.7981362","0.5797452","-0.6000763","0.002389841","-0.7881665","-0.136734"
17:09:07:283","-0.6371638","0.9245571","0.3571239","-0.001147354","0.734479","0.01682779","-0.6784219","-0.3584795","0.9975585","0.562798","-0.6177878","0.09294442","-0.1699964","-0.7621028","-0.5156624","0.9961463","0.5199117","0.6555294","-0.1526331","0.03852313","0.7385799","-0.35864","0.8026885","0.6477829","0.8183041","-0.05876655","-0.5547265","0.1385781","-0.5640995","0.7981565","0.579735","-0.6001087","0.002384126","-0.788142","-0.1367341"
17:09:07:301","-0.6371638","0.9245571","0.3571239","-0.001147354","0.734479","0.01682779","-0.6784219","-0.3584795","0.9975585","0.562798","-0.6177878","0.09294442","-0.1699964","-0.7621028","-0.5156624","0.9961463","0.5199117","0.6555294","-0.1526331","0.03852313","0.7385799","-0.3586574","0.8026894","0.6478106","0.8183255","-0.05877186","-0.554695","0.1385756","-0.5641116","0.7981576","0.5797473","-0.6000784","0.002389535","-0.7881651","-0.136734"
