"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
18:28:49:555","0.07400085","1.23702","0.2252083","0.2943546","0.08140896","0.04952276","-0.950934","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2489746","0.8204415","0.4915315","-0.9901676","0.107694","0.04101037","-0.07930232","-0.5007915","0.8248553","0.5826999","0.6916544","-0.01879423","0.7092888","0.1347978"
18:28:49:603","0.07398328","1.236967","0.2253358","0.2945114","0.08123162","0.04950919","-0.9509013","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2490521","0.8204288","0.4914699","-0.9901729","0.1077044","0.04087996","-0.07928824","-0.5010065","0.8248582","0.582702","0.6915612","-0.01881211","0.70938","0.1347954"
18:28:49:684","0.07394505","1.236836","0.2255804","0.2945373","0.08071627","0.04947018","-0.9509392","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2489101","0.820384","0.4918264","-0.9901569","0.1076735","0.04126296","-0.07932981","-0.5008548","0.8248239","0.5833527","0.6918353","-0.01875988","0.7091123","0.1348026"
18:28:49:713","0.07397567","1.236817","0.2256871","0.294537","0.08038995","0.04937593","-0.9509718","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.249083","0.820299","0.4917498","-0.9901668","0.1076926","0.04102603","-0.07930411","-0.5012649","0.8247679","0.5834277","0.6916658","-0.0187921","0.7092778","0.134798"
18:28:49:741","0.07402569","1.236823","0.2257465","0.2945024","0.08011683","0.04932006","-0.9510085","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2491007","0.8203937","0.4916376","-0.9901689","0.1076965","0.04097893","-0.07929888","-0.5014066","0.8248805","0.5834894","0.691632","-0.01879858","0.7093107","0.1347971"
18:28:49:770","0.07410447","1.23682","0.2258182","0.2946261","0.0798334","0.04913867","-0.9510034","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2490831","0.8204136","0.4915466","-0.9901702","0.1076993","0.0409433","-0.07929497","-0.5015067","0.8249165","0.5835194","0.6916065","-0.01880341","0.7093356","0.1347966"
18:28:49:821","0.0742383","1.236822","0.2259116","0.2946916","0.07967321","0.04904833","-0.9510012","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.249027","0.820401","0.4915144","-0.9901748","0.107708","0.04083474","-0.07928328","-0.5015687","0.8249176","0.5835422","0.6915287","-0.01881825","0.7094115","0.1347945"
18:28:49:858","0.07432849","1.236815","0.2260191","0.2946968","0.07971434","0.04903502","-0.9509969","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.249014","0.8203999","0.4913733","-0.9901829","0.1077241","0.04063127","-0.07926115","-0.5016751","0.8249276","0.583377","0.6913827","-0.01884595","0.7095537","0.1347906"
18:28:49:890","0.07439575","1.236786","0.2261574","0.2946405","0.07982023","0.04899964","-0.9510072","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.24902","0.8203855","0.4913146","-0.9901865","0.1077308","0.04054982","-0.07925219","-0.5017199","0.8249154","0.5832747","0.6913247","-0.01885697","0.7096104","0.1347891"
18:28:49:919","0.07445005","1.236744","0.2263191","0.2946391","0.07983018","0.04895425","-0.9510092","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2489465","0.8203579","0.4914161","-0.9901819","0.1077223","0.04065582","-0.07926373","-0.5016128","0.8248855","0.583398","0.6914005","-0.01884257","0.7095364","0.1347912"
