"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
16:44:43:006",""
16:44:43:062","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
16:44:43:728","0","-0.15","-0.44","0","0","0","1","0.0558","-0.1657","-0.5487","0","0","0","1","-0.0558","-0.1657","-0.5487","0","0","0","1","0.8876251","-0.399703","-0.5120974","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875535","-0.4013234","-0.5155103","0.4900758","-0.4930298","0.5098298","0.506775"
16:44:43:793","-0.3618444","1.106569","0.5059162","-0.8755105","0.07264324","-0.4755472","-0.04537975","0.3962146","0.9990588","0.4338651","-0.3708346","0.5425634","-0.5137892","-0.5514774","-0.2205166","1.012424","0.3405608","-0.5630133","-0.2515435","0.3464691","-0.7068954","-0.5088404","-0.399703","-1.214784","0.2098811","-0.67902","0.6752546","0.197264","0.4641068","-0.4013234","0.270021","0.6813226","0.2121451","-0.1894739","0.6744581"
16:44:43:833","-0.3618449","1.106569","0.5059139","-0.8755036","0.07263843","-0.4755597","-0.04538793","0.3962146","0.9990588","0.4338651","-0.3708346","0.5425634","-0.5137892","-0.5514774","-0.2205166","1.012424","0.3405608","-0.5630133","-0.2515435","0.3464691","-0.7068954","-0.9146043","1.126842","-0.1467434","0.2098711","-0.6790229","0.6752577","0.1972539","0.05829883","1.125222","1.33809","0.6813253","0.2121351","-0.1894638","0.6744612"
16:44:43:857","-0.3618409","1.106575","0.5059105","-0.87549","0.07267776","-0.4755751","-0.04542703","0.3962146","0.9990588","0.4338651","-0.3708346","0.5425634","-0.5137892","-0.5514774","-0.2205166","1.012424","0.3405608","-0.5630133","-0.2515435","0.3464691","-0.7068954","-0.914582","1.126843","-0.1467668","0.2098599","-0.6790262","0.6752613","0.1972426","0.05827197","1.125223","1.338099","0.6813285","0.2121239","-0.1894525","0.6744648"
16:44:43:882","-0.3618397","1.106576","0.5059121","-0.8754898","0.07269925","-0.4755731","-0.0454169","0.3962146","0.9990588","0.4338651","-0.3708346","0.5425634","-0.5137892","-0.5514774","-0.2205166","1.012424","0.3405608","-0.5630133","-0.2515435","0.3464691","-0.7068954","-0.153417","0.8696405","0.4669601","-0.9841167","0.1416353","-0.06834736","-0.08235742","-0.1956647","0.8160439","0.4175758","-0.9306222","-0.05623291","-0.3316634","-0.1441521"
16:44:43:904","-0.3618391","1.106578","0.5059092","-0.8755057","0.07265168","-0.4755445","-0.04548457","0.3962146","0.9990588","0.4338651","-0.3708346","0.5425634","-0.5137892","-0.5514774","-0.2205166","1.012424","0.3405608","-0.5630133","-0.2515435","0.3464691","-0.7068954","-0.1534194","0.8696334","0.4669595","-0.9841184","0.1416333","-0.06832233","-0.08236107","-0.1956852","0.8160318","0.4175823","-0.9306308","-0.05623664","-0.3316397","-0.1441508"
16:44:43:925","-0.3618389","1.106576","0.5059139","-0.8755144","0.07266597","-0.4755296","-0.04545187","0.3962146","0.9990588","0.4338651","-0.3708346","0.5425634","-0.5137892","-0.5514774","-0.2205166","1.012424","0.3405608","-0.5630133","-0.2515435","0.3464691","-0.7068954","-0.1534233","0.8696413","0.4669443","-0.9841177","0.1416341","-0.06833279","-0.08235964","-0.1956858","0.8160391","0.417558","-0.9306272","-0.05623511","-0.3316493","-0.1441514"
16:44:43:945","-0.3618375","1.106577","0.505915","-0.8755083","0.07269672","-0.4755374","-0.04543786","0.3962146","0.9990588","0.4338651","-0.3708346","0.5425634","-0.5137892","-0.5514774","-0.2205166","1.012424","0.3405608","-0.5630133","-0.2515435","0.3464691","-0.7068954","-0.153422","0.8696326","0.466987","-0.984116","0.1416362","-0.06835788","-0.08235586","-0.1956783","0.8160268","0.417607","-0.9306186","-0.05623138","-0.3316732","-0.1441529"
