Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Approach","8","T3","20:10:40:301","20:10:58:279","00:00:17.9787877"
Approach","8","T3","20:10:59:259","20:11:12:237","00:00:12.9771792"
Approach","8","T3","20:11:13:628","20:11:25:802","00:00:12.1748376"
Approach","8","T3","20:11:26:671","20:11:33:574","00:00:06.9024198"
Approach","8","T3","20:11:34:403","20:11:42:553","00:00:08.1491462"
Approach","8","T3","20:11:43:469","20:11:56:662","00:00:13.1932886"
Approach","8","T3","20:11:57:403","20:12:04:083","00:00:06.6800519"
Approach","8","T3","20:12:04:782","20:12:11:466","00:00:06.6840107"
Approach","8","T3","20:12:12:115","20:12:18:958","00:00:06.8436370"
Approach","8","T3","20:12:21:398","20:12:32:010","00:00:10.6120734"
Approach","8","T3","20:12:33:172","20:12:42:975","00:00:09.8020834"
Approach","8","T3","20:12:43:682","20:12:56:836","00:00:13.1547905"
Approach","8","T3","20:12:57:408","20:13:07:166","00:00:09.7576878"
Approach","8","T3","20:13:08:528","20:13:16:009","00:00:07.4807016"
Approach","8","T3","20:13:16:617","20:13:23:523","00:00:06.9057506"
Approach","8","T3","20:13:24:239","20:13:30:073","00:00:05.8340312"
