"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Union(cm3),V_Intersection(cm3),Intersection (%)
"Approach""",8,T3,20:10:58:475,120.1096,148.332,71.30952,59.4,
"Approach""",8,T3,20:11:12:501,16.13688,143.0007,13.64407,84.6,
"Approach""",8,T3,20:11:25:891,49.9376,135.3333,42.48528,85.1,
"Approach""",8,T3,20:11:33:706,12.74251,97.16669,11.91999,93.5,
"Approach""",8,T3,20:11:43:093,42.07437,140.6671,31.18909,74.1,
"Approach""",8,T3,20:11:56:998,55.03282,156.3335,43.18859,78.5,
"Approach""",8,T3,20:12:04:265,24.63037,119.4986,22.39177,90.9,
"Approach""",8,T3,20:12:11:529,30.0513,107.1664,28.12406,93.6,
"Approach""",8,T3,20:12:19:247,42.28668,120.4995,0,0,
"Approach""",8,T3,20:12:32:112,29.55894,129.9998,17.34635,58.7,
"Approach""",8,T3,20:12:43:441,7.2359,52.16726,6.307536,87.2,
"Approach""",8,T3,20:12:57:347,52.30275,47.49996,13.17482,25.2,
"Approach""",8,T3,20:13:07:712,91.86794,83.83385,46.66812,50.8,
"Approach""",8,T3,20:13:16:480,59.42453,100.4958,0.05463744,0.1,
"Approach""",8,T3,20:13:23:714,38.78975,91.83112,26.53988,68.4,
