"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Union(cm3),V_Intersection(cm3),Intersection (%)
"Veridical""",7,T2,19:54:34:785,271.408,88.33437,0,0,
"Veridical""",7,T2,19:55:10:038,138.2366,65.83298,0,0,
"Veridical""",7,T2,19:55:24:062,43.88837,17.33348,0,0,
"Veridical""",7,T2,19:55:36:963,28.42241,28.83563,2.33356,8.2,
"Veridical""",7,T2,19:55:53:587,37.14951,47.50136,0,0,
"Veridical""",7,T2,19:56:20:353,206.2815,35.33384,0,0,
"Veridical""",7,T2,19:56:31:822,58.36411,38.33278,11.7475,20.1,
"Veridical""",7,T2,19:56:49:495,162.7329,22.50003,0,0,
"Veridical""",7,T2,19:57:06:999,108.139,144.167,0,0,
"Veridical""",7,T2,19:57:20:433,270.7756,30.66665,0,0,
"Veridical""",7,T2,19:57:33:367,66.96801,19.8337,0,0,
"Veridical""",7,T2,19:57:48:423,117.5862,192.5004,13.97311,11.9,
"Veridical""",7,T2,19:58:02:913,122.8489,726.3346,8.183696,6.7,
"Veridical""",7,T2,19:58:16:367,128.697,35.33313,1.115724,0.9,
"Veridical""",7,T2,19:58:30:336,115.0833,80.16843,1.471978,1.3,
