"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Intersection(cm3),Intersection (%)
"Veridical""",8,T1,20:02:34:946,113.0826,300.001,54.1651,47.9
"Veridical""",8,T1,20:02:47:776,46.23476,163.8341,13.7127,29.7
"Veridical""",8,T1,20:02:56:522,36.33162,41.66687,4.742959,13.1
"Veridical""",8,T1,20:03:06:368,74.85427,173.8324,36.6854,49
"Veridical""",8,T1,20:03:13:620,75.10026,67.50013,29.31245,39
"Veridical""",8,T1,20:03:22:909,120.304,88.66675,26.0753,21.7
"Veridical""",8,T1,20:03:32:731,29.65299,161.3312,11.82903,39.9
"Veridical""",8,T1,20:03:44:653,169.8834,60.8336,25.63106,15.1
"Veridical""",8,T1,20:03:54:505,25.71403,254.1648,17.678,68.7
"Veridical""",8,T1,20:04:05:885,155.3222,199.333,103.6296,66.7
"Veridical""",8,T1,20:04:16:215,132.0145,335.4996,78.3336,59.3
"Veridical""",8,T1,20:04:26:553,116.1464,84.83328,38.63292,33.3
"Veridical""",8,T1,20:04:34:790,36.21272,498.997,8.530595,23.6
"Veridical""",8,T1,20:04:43:024,186.9152,372.6662,67.79783,36.3
"Veridical""",8,T1,20:04:51:255,59.50409,251.1645,26.34447,44.3
