"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Intersection(cm3),Intersection (%)
"Approach""",10,T4,17:36:27:497,101.6669,116.5005,48.85624,48.1
"Approach""",10,T4,17:36:44:576,33.7285,27.3335,0,0
"Approach""",10,T4,17:37:17:092,56.44016,29.66667,28.00475,49.6
"Approach""",10,T4,17:37:41:155,15.81557,22.66607,6.793377,43
"Approach""",10,T4,17:38:12:832,41.81577,52.83303,29.89668,71.5
"Approach""",10,T4,17:38:39:054,69.65316,100.3337,62.02689,89.1
"Approach""",10,T4,17:39:13:681,32.14119,56.50039,26.32165,81.9
"Approach""",10,T4,17:39:57:517,58.21923,55.50047,27.7485,47.7
"Approach""",10,T4,17:40:42:191,21.35227,28.16659,13.20547,61.8
"Approach""",10,T4,17:41:18:557,65.53258,52.66716,37.01955,56.5
"Approach""",10,T4,17:42:25:590,30.44783,58.00064,19.24366,63.2
"Approach""",10,T4,17:43:22:565,47.1948,38.33337,6.880008,14.6
"Approach""",10,T4,17:43:58:877,13.5806,28.49987,11.87099,87.4
"Approach""",10,T4,17:44:54:695,122.9215,524.64,98.70518,80.3
"Approach""",10,T4,17:45:41:342,60.55504,207.5013,27.27208,45
"Approach""",10,T4,17:46:13:045,52.67926,27.34365,18.20921,34.6
