Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Approach","9","T3","17:43:55:544","17:45:07:147","00:01:11.6026970"
Approach","9","T3","17:45:26:643","17:46:24:273","00:00:57.6297522"
Approach","9","T3","17:46:28:080","17:47:16:915","00:00:48.8352159"
Approach","9","T3","17:47:19:376","17:48:24:830","00:01:05.4538225"
Approach","9","T3","17:48:27:308","17:49:25:783","00:00:58.4755826"
Approach","9","T3","17:49:28:624","17:50:27:538","00:00:58.9137871"
Approach","9","T3","17:50:29:044","17:51:19:605","00:00:50.5606794"
Approach","9","T3","17:51:20:755","17:52:16:676","00:00:55.9212572"
Approach","9","T3","17:52:18:540","17:53:16:917","00:00:58.3770860"
Approach","9","T3","17:53:21:402","17:53:58:691","00:00:37.2890791"
Approach","9","T3","17:54:03:092","17:55:12:867","00:01:09.7750902"
Approach","9","T3","17:55:15:850","17:56:12:490","00:00:56.6398694"
Approach","9","T3","17:56:14:333","17:56:55:009","00:00:40.6756320"
Approach","9","T3","17:56:58:714","17:57:59:580","00:01:00.8657602"
Approach","9","T3","17:58:01:803","17:59:00:461","00:00:58.6581497"
Approach","9","T3","17:59:04:670","17:59:54:010","00:00:49.3404633"
