Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Veridical","9","T1","17:01:53:973","17:02:20:575","00:00:26.6024006"
Veridical","9","T1","17:02:25:136","17:02:45:113","00:00:19.9771104"
Veridical","9","T1","17:02:47:358","17:03:08:583","00:00:21.2251005"
Veridical","9","T1","17:03:11:213","17:03:27:923","00:00:16.7102086"
Veridical","9","T1","17:03:51:365","17:04:11:272","00:00:19.9074783"
Veridical","9","T1","17:04:14:630","17:04:34:536","00:00:19.9064242"
Veridical","9","T1","17:04:38:919","17:04:57:574","00:00:18.6548541"
Veridical","9","T1","17:04:59:737","17:05:33:923","00:00:34.1855343"
Veridical","9","T1","17:05:36:251","17:06:04:030","00:00:27.7797556"
Veridical","9","T1","17:06:07:141","17:06:30:160","00:00:23.0194632"
Veridical","9","T1","17:06:43:165","17:07:08:553","00:00:25.3881984"
Veridical","9","T1","17:07:11:366","17:07:38:469","00:00:27.1026899"
Veridical","9","T1","17:07:41:309","17:08:05:343","00:00:24.0344798"
Veridical","9","T1","17:08:08:543","17:08:36:350","00:00:27.8067902"
Veridical","9","T1","17:08:39:898","17:09:03:346","00:00:23.4485056"
Veridical","9","T1","17:09:05:252","17:09:33:437","00:00:28.1850643"
