"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Union(cm3),V_Intersection(cm3),Intersection (%)
"Approach""",9,T3,17:45:07:399,97.75211,96.49983,46.98329,48.1,
"Approach""",9,T3,17:46:24:492,126.9317,94.00051,42.43471,33.4,
"Approach""",9,T3,17:47:16:995,67.03439,68.83314,33.16571,49.5,
"Approach""",9,T3,17:48:25:130,74.78035,121.0006,25.45522,34,
"Approach""",9,T3,17:49:25:902,92.431,107,66.52533,72,
"Approach""",9,T3,17:50:28:043,37.80913,69.66676,26.27481,69.5,
"Approach""",9,T3,17:51:19:941,54.10875,125.3306,39.38995,72.8,
"Approach""",9,T3,17:52:16:951,61.7965,83.83292,37.4228,60.6,
"Approach""",9,T3,17:53:17:125,66.8931,69.83298,11.24402,16.8,
"Approach""",9,T3,17:53:58:754,107.4597,28.99942,2.762833,2.6,
"Approach""",9,T3,17:55:13:400,43.46887,90.33461,38.07944,87.6,
"Approach""",9,T3,17:56:13:020,153.6812,89.83422,50.02285,32.5,
"Approach""",9,T3,17:56:55:263,39.29611,74.83345,34.63411,88.1,
"Approach""",9,T3,17:58:00:173,214.0359,173.837,181.844,85,
"Approach""",9,T3,17:59:00:780,76.34715,453.0037,0,0,
