15:37:16:33","123.3249","123.3224","123.3249","123.3224","100.0"
15:37:21:43","79.0043","79.00455","79.0043","79.00455","100.0"
15:37:26:03","54.85335","54.84994","54.85335","54.84994","100.0"
15:37:31:65","94.01862","94.01487","94.01862","94.01487","100.0"
15:37:36:25","244.9809","244.9784","244.9809","244.9784","100.0"
15:37:39:29","142.8172","142.8208","142.8172","142.8208","100.0"
15:37:42:36","78.26244","78.26176","78.26244","78.26176","100.0"
15:37:45:46","633.5502","633.5456","633.5502","633.5456","100.0"
15:37:48:49","221.3713","221.3697","221.3713","221.3697","100.0"
15:37:51:56","139.7302","139.7362","139.7302","139.7362","100.0"
