12:07:46:524","9.875919","9.873574","9.875919","9.873574","100.0"
12:07:50:092","7.330116","7.329596","7.330116","7.329596","100.0"
12:07:53:156","6.913588","6.913232","6.913588","6.913232","100.0"
12:07:56:735","3.475559","3.475541","3.475559","3.475541","100.0"
12:07:59:307","0.2669813","0.2671432","0.2669813","0","0.0"
12:08:04:950","7.495904","7.498689","7.495904","7.498689","100.0"
12:08:08:505","3.818198","3.817933","3.818198","3.817933","100.0"
12:08:12:609","9.240287","9.242652","9.240287","9.242652","100.0"
12:08:16:713","7.818933","7.81897","7.818933","7.81897","100.0"
12:08:20:791","24.87283","24.87024","24.87283","24.87024","100.0"
12:08:23:869","9.704962","9.704647","9.704962","9.704647","100.0"
12:08:27:484","6.71498","6.718404","6.71498","6.718404","100.1"
12:08:31:075","9.507564","9.505992","9.507564","9.505992","100.0"
12:08:36:181","4.229068","4.227339","4.229068","4.227339","100.0"
12:08:42:315","7.382225","7.388499","7.382225","7.388499","100.1"
12:08:47:474","7.893435","7.892176","7.893435","7.892176","100.0"
12:08:52:072","4.040693","4.032023","4.040693","4.032023","99.8"
