Condition","ParticipantID","Test"," "Time Stamp","V_Local(cm3)","V_Remote(cm3)","V_Union(cm3)","V_Intersection(cm3)","Intersection (%)"
Approach","11","T2","15:13:33:801","72.47993","46.50069","39.48792","54.5"
Approach","11","T2","15:14:01:734","54.9615","43.33336","22.14212","40.3"
Approach","11","T2","15:14:25:051","27.88785","34.83329","19.57772","70.2"
Approach","11","T2","15:14:49:936","28.2183","17.33323","8.074422","28.6"
Approach","11","T2","15:15:11:699","39.7333","41.99988","19.90454","50.1"
Approach","11","T2","15:15:35:010","27.00907","52.99999","2.53743","9.4"
Approach","11","T2","15:15:56:297","17.99131","28.16724","11.34224","63.0"
Approach","11","T2","15:16:19:094","30.11728","28.33312","20.95285","69.6"
Approach","11","T2","15:16:39:190","43.21152","144.8303","0.2343822","0.5"
Approach","11","T2","15:16:59:751","35.21189","40.83347","23.81964","67.6"
Approach","11","T2","15:17:30:920","21.7547","31.99949","15.75503","72.4"
Approach","11","T2","15:17:56:187","58.32269","67.6668","40.27748","69.1"
Approach","11","T2","15:18:21:629","27.91233","52.33294","26.00052","93.2"
Approach","11","T2","15:18:50:123","82.82438","96.33482","46.42768","56.1"
Approach","11","T2","15:19:15:781","39.50918","34.49908","21.05115","53.3"
