Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Approach","12","T1","15:23:10:150","15:23:33:628","00:00:23.4778096"
Approach","12","T1","15:23:34:608","15:24:02:015","00:00:27.4069592"
Approach","12","T1","15:24:03:275","15:24:29:822","00:00:26.5470587"
Approach","12","T1","15:24:30:897","15:24:50:342","00:00:19.4450385"
Approach","12","T1","15:24:51:451","15:25:08:344","00:00:16.8929907"
Approach","12","T1","15:25:09:974","15:25:26:374","00:00:16.4006591"
Approach","12","T1","15:25:27:342","15:25:43:187","00:00:15.8446932"
Approach","12","T1","15:25:44:185","15:26:02:510","00:00:18.3245315"
Approach","12","T1","15:26:03:765","15:26:23:079","00:00:19.3142872"
Approach","12","T1","15:26:24:343","15:26:42:506","00:00:18.1629378"
Approach","12","T1","15:26:44:033","15:27:06:767","00:00:22.7334096"
Approach","12","T1","15:27:08:446","15:27:34:089","00:00:25.6429589"
Approach","12","T1","15:27:36:057","15:27:56:608","00:00:20.5512305"
Approach","12","T1","15:27:57:943","15:28:23:036","00:00:25.0936363"
Approach","12","T1","15:29:03:617","15:29:27:510","00:00:23.8929478"
Approach","12","T1","15:29:29:010","15:30:05:461","00:00:36.4511967"
