Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Veridical","12","T4","15:04:41:382","15:04:59:890","00:00:18.5086424"
Veridical","12","T4","15:05:01:488","15:05:22:615","00:00:21.1267005"
Veridical","12","T4","15:05:23:666","15:05:40:831","00:00:17.1650162"
Veridical","12","T4","15:05:41:910","15:05:57:161","00:00:15.2510546"
Veridical","12","T4","15:05:57:975","15:06:15:458","00:00:17.4837366"
Veridical","12","T4","15:06:16:241","15:06:29:596","00:00:13.3556257"
Veridical","12","T4","15:06:30:485","15:06:46:627","00:00:16.1424564"
Veridical","12","T4","15:06:47:619","15:07:04:730","00:00:17.1108826"
Veridical","12","T4","15:07:05:552","15:07:22:257","00:00:16.7044683"
Veridical","12","T4","15:07:23:931","15:07:37:366","00:00:13.4351179"
Veridical","12","T4","15:07:39:024","15:07:52:499","00:00:13.4744137"
Veridical","12","T4","15:07:53:683","15:08:14:720","00:00:21.0373921"
Veridical","12","T4","15:08:16:355","15:08:36:170","00:00:19.8150334"
Veridical","12","T4","15:08:36:796","15:08:54:931","00:00:18.1353911"
Veridical","12","T4","15:08:56:199","15:09:13:148","00:00:16.9488624"
Veridical","12","T4","15:09:14:152","15:09:27:076","00:00:12.9232701"
