"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Intersection(cm3),Intersection (%)
"Veridical""",12,T4,15:05:00:454,52.69019,63.16544,27.34532,51.9
"Veridical""",12,T4,15:05:22:682,53.12449,315.999,0,0
"Veridical""",12,T4,15:05:41:258,31.66057,109.6677,25.54105,80.7
"Veridical""",12,T4,15:05:57:266,24.81122,103.9998,22.8264,92
"Veridical""",12,T4,15:06:15:922,32.46776,111.332,19.84589,61.1
"Veridical""",12,T4,15:06:29:916,21.85832,160.5002,12.30647,56.3
"Veridical""",12,T4,15:06:46:964,25.16528,53.16613,14.70991,58.5
"Veridical""",12,T4,15:07:05:142,35.19498,71.16666,0,0
"Veridical""",12,T4,15:07:22:703,24.07955,94.33385,16.30931,67.7
"Veridical""",12,T4,15:07:37:647,36.06723,70.50007,0,0
"Veridical""",12,T4,15:07:52:604,23.00577,24.16749,12.26365,53.3
"Veridical""",12,T4,15:08:14:857,88.12606,58.6673,39.96454,45.3
"Veridical""",12,T4,15:08:36:442,37.75153,129.5004,28.29317,74.9
"Veridical""",12,T4,15:08:55:027,249.613,269.8326,104.5242,41.9
"Veridical""",12,T4,15:09:13:641,44.48202,80.83314,0,0
"Veridical""",12,T4,15:10:01:321,87.43166,54.33316,19.07906,21.8
