Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Approach","11","T2","15:13:04:744","15:13:33:718","00:00:28.9741225"
Approach","11","T2","15:13:36:469","15:14:01:352","00:00:24.8822359"
Approach","11","T2","15:14:03:201","15:14:24:541","00:00:21.3396375"
Approach","11","T2","15:14:28:538","15:14:49:653","00:00:21.1143556"
Approach","11","T2","15:14:51:293","15:15:11:605","00:00:20.3125230"
Approach","11","T2","15:15:14:072","15:15:34:940","00:00:20.8681128"
Approach","11","T2","15:15:35:842","15:15:55:839","00:00:19.9976505"
Approach","11","T2","15:16:00:558","15:16:18:574","00:00:18.0157321"
Approach","11","T2","15:16:19:847","15:16:38:901","00:00:19.0539168"
Approach","11","T2","15:16:40:070","15:16:59:435","00:00:19.3656725"
Approach","11","T2","15:17:00:092","15:17:30:820","00:00:30.7280381"
Approach","11","T2","15:17:32:372","15:17:55:987","00:00:23.6147079"
Approach","11","T2","15:17:56:802","15:18:21:435","00:00:24.6327288"
Approach","11","T2","15:18:22:492","15:18:49:990","00:00:27.4979802"
Approach","11","T2","15:18:54:164","15:19:15:344","00:00:21.1801550"
Approach","11","T2","15:19:19:496","15:19:40:179","00:00:20.6833460"
