"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Union(cm3),V_Intersection(cm3),Intersection (%)
"Approach""",12,T1,15:23:34:013,59.31718,85.33412,43.38922,73.1,
"Approach""",12,T1,15:24:02:311,38.23124,81.8338,27.46592,71.8,
"Approach""",12,T1,15:24:30:130,24.67299,72.3335,13.99305,56.7,
"Approach""",12,T1,15:24:50:727,36.59785,57.66716,15.63645,42.7,
"Approach""",12,T1,15:25:08:401,38.09574,82.00237,33.44973,87.8,
"Approach""",12,T1,15:25:26:498,19.44866,100.6667,18.36999,94.5,
"Approach""",12,T1,15:25:43:606,27.89558,76.99929,23.12192,82.9,
"Approach""",12,T1,15:26:02:818,29.28322,87.99926,27.71723,94.7,
"Approach""",12,T1,15:26:23:514,87.43166,54.33316,19.07906,21.8,
"Approach""",12,T1,15:26:42:560,42.65736,59.99971,15.73011,36.9,
"Approach""",12,T1,15:27:06:943,24.47156,75.83389,22.63688,92.5,
"Approach""",12,T1,15:27:34:291,61.14482,171.1665,52.49975,85.9,
"Approach""",12,T1,15:27:56:990,19.754,89.50031,16.15704,81.8,
"Approach""",12,T,15:28:42:520,Couldn't generate Hull - Exception.,,,,
"Approach""",12,T1,15:28:51:929,43.23391,70.83208,31.29987,72.4,
"Approach""",12,T1,15:29:27:904,63.96509,115.3327,50.64228,79.2,
