Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Approach","6","T2","19:31:24:542","19:31:48:445","00:00:23.9029010"
Approach","6","T2","19:31:48:896","19:32:16:108","00:00:27.2115031"
Approach","6","T2","19:32:16:870","19:32:30:629","00:00:13.7590547"
Approach","6","T2","19:32:31:733","19:32:50:670","00:00:18.9368444"
Approach","6","T2","19:32:52:914","19:33:12:289","00:00:19.3753763"
Approach","6","T2","19:33:13:116","19:33:27:187","00:00:14.0710668"
Approach","6","T2","19:33:27:608","19:33:43:203","00:00:15.5952534"
Approach","6","T2","19:33:43:942","19:34:02:645","00:00:18.7032162"
Approach","6","T2","19:34:03:309","19:34:26:982","00:00:23.6722490"
Approach","6","T2","19:34:27:667","19:34:50:375","00:00:22.7073971"
Approach","6","T2","19:34:51:089","19:35:15:796","00:00:24.7070671"
Approach","6","T2","19:35:16:690","19:35:46:563","00:00:29.8736074"
Approach","6","T2","19:35:47:257","19:36:07:423","00:00:20.1665287"
Approach","6","T2","19:36:07:871","19:36:38:511","00:00:30.6406962"
Approach","6","T2","19:36:39:295","19:36:56:389","00:00:17.0939469"
Approach","6","T2","19:36:56:866","19:37:12:221","00:00:15.3547134"
