"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Union(cm3),V_Intersection(cm3),Intersection (%)
"Veridical""",5,T4,18:58:05:983,63.44558,106.1672,37.1885,58.6,
"Veridical""",5,T4,18:58:49:985,59.94932,106.3335,37.38603,62.4,
"Veridical""",5,T4,18:59:13:375,24.55427,46.83384,5.87749,23.9,
"Veridical""",5,T4,18:59:36:719,46.99004,69.33376,10.06774,21.4,
"Veridical""",5,T4,19:00:07:156,193.5205,85.49767,39.89632,20.6,
"Veridical""",5,T4,19:00:26:944,15.17559,31.33338,4.14911,27.3,
"Veridical""",5,T4,19:00:48:635,36.15655,62.16933,8.062433,22.3,
"Veridical""",5,T4,19:01:12:292,19.19165,22.33342,3.967622,20.7,
"Veridical""",5,T4,19:01:46:251,1562.599,80.99986,45.47614,2.9,
"Veridical""",5,T4,19:02:07:852,Error computing: Can't generate hull. points are coplanar!,,,,
"Veridical""",5,T4,19:02:35:680,16.8217,51.16619,4.062583,24.2,
"Veridical""",5,T4,19:03:10:293,1.804883,29.5001,0,0.0,
"Veridical""",5,T4,19:03:36:719,140.7494,17.33338,0,0.0,
"Veridical""",5,T4,19:04:06:143,101.8867,100.1681,9.510642,9.3,
"Veridical""",5,T4,19:04:27:374,21.72171,34.16665,4.762165,21.9,
