Condition","ParticipantID","Test"," "Time Stamp","V_Local(cm3)","V_Remote(cm3)","V_Union(cm3)","V_Intersection(cm3)","Intersection (%)"
Approach","6","T2","19:31:48:739","89.62144","48.49956","13.66947","15.3"
Approach","6","T2","19:32:16:469","367.3615","27.99996","0","0.0"
Approach","6","T2","19:32:30:913","53.39726","25.83335","8.118166","15.2"
Approach","6","T2","19:32:51:543","907.4677","37.66671","25.53288","2.8"
Approach","6","T2","19:33:12:472","118.8698","46.83498","13.28284","11.2"
Approach","6","T2","19:33:27:394","16.1249","41.50001","5.793861","35.9"
Approach","6","T2","19:33:43:366","13.13476","15.16473","3.647361","27.8"
Approach","6","T2","19:34:03:062","30.92562","97.00157","0","0.0"
Approach","6","T2","19:34:27:471","33.40592","67.99976","171.5624","513.6"
Approach","6","T2","19:34:50:783","34.45199","28.4994","8.61196","25.0"
Approach","6","T2","19:35:16:050","14.92524","43.16753","116.2952","779.2"
Approach","6","T2","19:35:46:992","101.939","53.83355","33.1008","32.5"
Approach","6","T2","19:36:07:679","22.11486","29.83339","0","0.0"
Approach","6","T2","19:36:38:934","130.5665","115.1599","3.815938","2.9"
Approach","6","T2","19:36:56:494","53.80887","21.50178","5.400108","10.0"
