"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Intersection(cm3),Intersection (%)
"Veridical""",6,T1,19:12:07:416,111.5552,43.8341,1.543512,1.4
"Veridical""",6,T1,19:12:32:792,40.40804,65.16669,12.16261,30.1
"Veridical""",6,T1,19:12:52:454,34.54713,32.33366,8.602015,24.9
"Veridical""",6,T1,19:13:14:108,28.53485,41.83323,4.50108,15.8
"Veridical""",6,T1,19:13:31:266,Error computing: Can't generate hull. points are coplanar!,,,
"Veridical""",6,T1,19:14:55:786,31.84846,7.666955,0,0.0
"Veridical""",6,T1,19:15:12:306,16.85173,35.33377,8.432959,50.0
"Veridical""",6,T1,19:15:39:736,1844.264,37.33391,23.99286,1.3
"Veridical""",6,T1,19:16:05:759,48.6163,76.50009,40.18315,82.7
"Veridical""",6,T1,19:17:32:481,34.86394,28.00028,0,0.0
"Veridical""",6,T1,19:18:06:440,79.01959,51.6671,12.14115,15.4
"Veridical""",6,T1,19:18:34:772,7.231491,101.1688,11.5061,159.1
"Veridical""",6,T1,19:18:55:878,105.8218,163.3291,63.8949,60.4
"Veridical""",6,T1,19:19:17:538,47.32329,59.99898,24.59042,52.0
"Veridical""",6,T1,19:19:57:628,Error computing: Can't generate hull. points are coplanar!,,,
